date,cntas,country,asset
01/01/2003,723346,Federal Reserve System,723346
01/04/2003,737916,Federal Reserve System,737916
01/07/2003,741690,Federal Reserve System,741690
01/10/2003,751828,Federal Reserve System,751828
01/01/2004,756309,Federal Reserve System,756309
01/04/2004,765641,Federal Reserve System,765641
01/07/2004,778478,Federal Reserve System,778478
01/10/2004,799499,Federal Reserve System,799499
01/01/2005,803305,Federal Reserve System,803305
01/04/2005,807718,Federal Reserve System,807718
01/07/2005,816921,Federal Reserve System,816921
01/10/2005,828312,Federal Reserve System,828312
01/01/2006,836512,Federal Reserve System,836512
01/04/2006,842214,Federal Reserve System,842214
01/07/2006,845169,Federal Reserve System,845169
01/10/2006,857002,Federal Reserve System,857002
01/01/2007,865283,Federal Reserve System,865283
01/04/2007,870329,Federal Reserve System,870329
01/07/2007,871863,Federal Reserve System,871863
01/10/2007,882967,Federal Reserve System,882967
01/01/2008,889325,Federal Reserve System,889325
01/04/2008,891236,Federal Reserve System,891236
01/07/2008,937908,Federal Reserve System,937908
01/10/2008,2023719,Federal Reserve System,2023719
01/01/2009,1966766,Federal Reserve System,1966766
01/04/2009,2106421,Federal Reserve System,2106421
01/07/2009,2061508,Federal Reserve System,2061508
01/10/2009,2192677,Federal Reserve System,2192677
01/01/2010,2275870,Federal Reserve System,2275870
01/04/2010,2334581,Federal Reserve System,2334581
01/07/2010,2316060,Federal Reserve System,2316060
01/10/2010,2342764,Federal Reserve System,2342764
01/01/2011,2516460,Federal Reserve System,2516460
01/04/2011,2756634,Federal Reserve System,2756634
01/07/2011,2863445,Federal Reserve System,2863445
01/10/2011,2854890,Federal Reserve System,2854890
01/01/2012,2911888,Federal Reserve System,2911888
01/04/2012,2862443,Federal Reserve System,2862443
01/07/2012,2837341,Federal Reserve System,2837341
01/10/2012,2858947,Federal Reserve System,2858947
01/01/2013,3060648,Federal Reserve System,3060648
01/04/2013,3353623,Federal Reserve System,3353623
01/07/2013,3613485,Federal Reserve System,3613485
01/10/2013,3889295,Federal Reserve System,3889295
01/01/2014,4127964,Federal Reserve System,4127964
01/04/2014,4311948,Federal Reserve System,4311948
01/07/2014,4414642,Federal Reserve System,4414642
01/10/2014,4484785,Federal Reserve System,4484785
01/01/2015,4497297,Federal Reserve System,4497297
01/04/2015,4480482,Federal Reserve System,4480482
01/07/2015,4485814,Federal Reserve System,4485814
01/10/2015,4489102,Federal Reserve System,4489102
01/01/2016,4486484,Federal Reserve System,4486484
01/04/2016,4475798,Federal Reserve System,4475798
01/07/2016,4468330,Federal Reserve System,4468330
01/10/2016,4457911,Federal Reserve System,4457911
01/01/2017,4460615,Federal Reserve System,4460615
01/04/2017,4471341,Federal Reserve System,4471341
01/07/2017,4463849,Federal Reserve System,4463849
01/10/2017,4452972,Federal Reserve System,4452972
01/01/2018,4418993,Federal Reserve System,4418993
01/04/2018,4346987,Federal Reserve System,4346987
01/07/2018,4243144,Federal Reserve System,4243144
01/10/2018,4128102,Federal Reserve System,4128102
01/01/2019,4009351,Federal Reserve System,4009351
01/04/2019,3881489,Federal Reserve System,3881489
01/07/2019,3795758,Federal Reserve System,3795758
