date,cntas,country,asset
2006-07-01,845169,Federal Reserve System,845169
2006-10-01,857002,Federal Reserve System,857002
2007-01-01,865283,Federal Reserve System,865283
2007-04-01,870329,Federal Reserve System,870329
2007-07-01,871863,Federal Reserve System,871863
2007-10-01,882967,Federal Reserve System,882967
2008-01-01,889325,Federal Reserve System,889325
2008-04-01,891236,Federal Reserve System,891236
2008-07-01,937908,Federal Reserve System,937908
2008-10-01,2023719,Federal Reserve System,2023719
2009-01-01,1966766,Federal Reserve System,1966766
2009-04-01,2106421,Federal Reserve System,2106421
2009-07-01,2061508,Federal Reserve System,2061508
2009-10-01,2192677,Federal Reserve System,2192677
2010-01-01,2275870,Federal Reserve System,2275870
2010-04-01,2334581,Federal Reserve System,2334581
2010-07-01,2316060,Federal Reserve System,2316060
2010-10-01,2342764,Federal Reserve System,2342764
2011-01-01,2516460,Federal Reserve System,2516460
2011-04-01,2756634,Federal Reserve System,2756634
2011-07-01,2863445,Federal Reserve System,2863445
2011-10-01,2854890,Federal Reserve System,2854890
2012-01-01,2911888,Federal Reserve System,2911888
2012-04-01,2862443,Federal Reserve System,2862443
2012-07-01,2837341,Federal Reserve System,2837341
2012-10-01,2858947,Federal Reserve System,2858947
2013-01-01,3060648,Federal Reserve System,3060648
2013-04-01,3353623,Federal Reserve System,3353623
2013-07-01,3613485,Federal Reserve System,3613485
2013-10-01,3889295,Federal Reserve System,3889295
2014-01-01,4127964,Federal Reserve System,4127964
2014-04-01,4311948,Federal Reserve System,4311948
2014-07-01,4414642,Federal Reserve System,4414642
2014-10-01,4484785,Federal Reserve System,4484785
2015-01-01,4497297,Federal Reserve System,4497297
2015-04-01,4480482,Federal Reserve System,4480482
2015-07-01,4485814,Federal Reserve System,4485814
2015-10-01,4489102,Federal Reserve System,4489102
2016-01-01,4486484,Federal Reserve System,4486484
2016-04-01,4475798,Federal Reserve System,4475798
2016-07-01,4468330,Federal Reserve System,4468330
2016-10-01,4457911,Federal Reserve System,4457911
2017-01-01,4460615,Federal Reserve System,4460615
2017-04-01,4471341,Federal Reserve System,4471341
2017-07-01,4463849,Federal Reserve System,4463849
2017-10-01,4452972,Federal Reserve System,4452972
2018-01-01,4418993,Federal Reserve System,4418993
2018-04-01,4346987,Federal Reserve System,4346987
2018-07-01,4243144,Federal Reserve System,4243144
