age,ethnicity,pop
0 to 9 years,Asian,798600
10 to 19 years,Asian,729100
20 to 29 years,Asian,725200
30 to 39 years,Asian,893900
40 to 49 years,Asian,740500
50 to 59 years,Asian,405500
60 to 69 years,Asian,233100
70 to 79 years,Asian,128500
80 years and over,Asian,74500
0 to 9 years,"Black, African, Caribbean",361500
10 to 19 years,"Black, African, Caribbean",360500
20 to 29 years,"Black, African, Caribbean",293900
30 to 39 years,"Black, African, Caribbean",309100
40 to 49 years,"Black, African, Caribbean",297200
50 to 59 years,"Black, African, Caribbean",273000
60 to 69 years,"Black, African, Caribbean",101200
70 to 79 years,"Black, African, Caribbean",59100
80 years and over,"Black, African, Caribbean",43600
0 to 9 years,Mixed,370800
10 to 19 years,Mixed,253200
20 to 29 years,Mixed,161600
30 to 39 years,Mixed,133100
40 to 49 years,Mixed,78600
50 to 59 years,Mixed,61100
60 to 69 years,Mixed,20600
70 to 79 years,Mixed,10300
80 years and over,Mixed,5900
0 to 9 years,White,5469700
10 to 19 years,White,5299100
20 to 29 years,White,6348900
30 to 39 years,White,6364200
40 to 49 years,White,6201600
50 to 59 years,White,7168300
60 to 69 years,White,5876600
70 to 79 years,White,4799700
80 years and over,White,2875600
0 to 9 years,Other,186800
10 to 19 years,Other,155800
20 to 29 years,Other,170400
30 to 39 years,Other,219100
40 to 49 years,Other,180900
50 to 59 years,Other,108200
60 to 69 years,Other,52100
70 to 79 years,Other,28300
80 years and over,Other,11600
