region,year,series,pop
North East,2011,Total Population,2596441
North West,2011,Total Population,7055961
Yorkshire and The Humber,2011,Total Population,5288212
East Midlands,2011,Total Population,4537448
West Midlands,2011,Total Population,5608667
East,2011,Total Population,5862418
London,2011,Total Population,8204407
South East,2011,Total Population,8652784
South West,2011,Total Population,5300831
North East,2012,Total Population,2602387
North West,2012,Total Population,7084470
Yorkshire and The Humber,2012,Total Population,5316897
East Midlands,2012,Total Population,4567798
West Midlands,2012,Total Population,5642763
East,2012,Total Population,5905914
London,2012,Total Population,8308833
South East,2012,Total Population,8724928
South West,2012,Total Population,5339739
North East,2013,Total Population,2610563
North West,2013,Total Population,7103488
Yorkshire and The Humber,2013,Total Population,5337940
East Midlands,2013,Total Population,4598548
West Midlands,2013,Total Population,5675030
East,2013,Total Population,5951934
London,2013,Total Population,8417458
South East,2013,Total Population,8793154
South West,2013,Total Population,5377702
North East,2014,Total Population,2618736
North West,2014,Total Population,7133026
Yorkshire and The Humber,2014,Total Population,5360117
East Midlands,2014,Total Population,4637369
West Midlands,2014,Total Population,5713439
East,2014,Total Population,6017250
London,2014,Total Population,8539398
South East,2014,Total Population,8874005
South West,2014,Total Population,5423278
North East,2015,Total Population,2624579
North West,2015,Total Population,7175178
Yorkshire and The Humber,2015,Total Population,5390211
East Midlands,2015,Total Population,4677425
West Midlands,2015,Total Population,5755032
East,2015,Total Population,6075970
London,2015,Total Population,8666930
South East,2015,Total Population,8949392
South West,2015,Total Population,5471610
North East,2016,Total Population,2636589
North West,2016,Total Population,7223961
Yorkshire and The Humber,2016,Total Population,5425370
East Midlands,2016,Total Population,4725390
West Midlands,2016,Total Population,5810773
East,2016,Total Population,6129005
London,2016,Total Population,8769659
South East,2016,Total Population,9030347
South West,2016,Total Population,5516973
North East,2017,Total Population,2644727
North West,2017,Total Population,7258627
Yorkshire and The Humber,2017,Total Population,5450130
East Midlands,2017,Total Population,4771666
West Midlands,2017,Total Population,5860706
East,2017,Total Population,6168432
London,2017,Total Population,8825001
South East,2017,Total Population,9080825
South West,2017,Total Population,5559316
North East,2018,Total Population,2657909
North West,2018,Total Population,7292093
Yorkshire and The Humber,2018,Total Population,5479615
East Midlands,2018,Total Population,4804149
West Midlands,2018,Total Population,5900757
East,2018,Total Population,6201214
London,2018,Total Population,8908081
South East,2018,Total Population,9133625
South West,2018,Total Population,5599735
North East,2019,Total Population,2669941
North West,2019,Total Population,7341196
Yorkshire and The Humber,2019,Total Population,5502967
East Midlands,2019,Total Population,4835928
West Midlands,2019,Total Population,5934037
East,2019,Total Population,6236072
London,2019,Total Population,8961989
South East,2019,Total Population,9180135
South West,2019,Total Population,5624696
North East,2020,Total Population,2680763
North West,2020,Total Population,7367456
Yorkshire and The Humber,2020,Total Population,5526350
East Midlands,2020,Total Population,4865583
West Midlands,2020,Total Population,5961929
East,2020,Total Population,6269161
London,2020,Total Population,9002488
South East,2020,Total Population,9217265
South West,2020,Total Population,5659143
North East,2011,Change in population,
North West,2011,Change in population,
Yorkshire and The Humber,2011,Change in population,
East Midlands,2011,Change in population,
West Midlands,2011,Change in population,
East,2011,Change in population,
London,2011,Change in population,
South East,2011,Change in population,
South West,2011,Change in population,
North East,2012,Change in population,0.229005781
North West,2012,Change in population,0.404041349
Yorkshire and The Humber,2012,Change in population,0.542432868
East Midlands,2012,Change in population,0.668878189
West Midlands,2012,Change in population,0.607916284
East,2012,Change in population,0.741946412
London,2012,Change in population,1.27280375
South East,2012,Change in population,0.833766335
South West,2012,Change in population,0.733998122
North East,2013,Change in population,0.314173103
North West,2013,Change in population,0.268446334
Yorkshire and The Humber,2013,Change in population,0.395775957
East Midlands,2013,Change in population,0.67319089
West Midlands,2013,Change in population,0.571829793
