year,Year,type,family,Number of Families
1996,1996,Married Couple,5223000,5223
1997,1997,Married Couple,5126000,5126
1998,1998,Married Couple,5013000,5013
1999,1999,Married Couple,4936000,4936
2000,2000,Married Couple,4918000,4918
2001,2001,Married Couple,4833000,4833
2002,2002,Married Couple,4777000,4777
2003,2003,Married Couple,4746000,4746
2004,2004,Married Couple,4689000,4689
2005,2005,Married Couple,4732000,4732
2006,2006,Married Couple,4682000,4682
2007,2007,Married Couple,4689000,4689
2008,2008,Married Couple,4642000,4642
2009,2009,Married Couple,4709000,4709
2010,2010,Married Couple,4701000,4701
2011,2011,Married Couple,4641000,4641
2012,2012,Married Couple,4698000,4698
2013,2013,Married Couple,4756000,4756
2014,2014,Married Couple,4767000,4767
2015,2015,Married Couple,4730000,4730
2016,2016,Married Couple,4829000,4829
2017,2017,Married Couple,4963000,4963
2018,2018,Married Couple,4892000,4892
2019,2019,Married Couple,4935000,4935
2020,2020,Married Couple,5087000,5087
2021,2021,Married Couple,5085000,5085
1996,1996,Cohabiting Couple,539000,539
1997,1997,Cohabiting Couple,592000,592
1998,1998,Cohabiting Couple,638000,638
1999,1999,Cohabiting Couple,718000,718
2000,2000,Cohabiting Couple,739000,739
2001,2001,Cohabiting Couple,808000,808
2002,2002,Cohabiting Couple,809000,809
2003,2003,Cohabiting Couple,819000,819
2004,2004,Cohabiting Couple,885000,885
2005,2005,Cohabiting Couple,899000,899
2006,2006,Cohabiting Couple,954000,954
2007,2007,Cohabiting Couple,974000,974
2008,2008,Cohabiting Couple,1040000,1040
2009,2009,Cohabiting Couple,1025000,1025
2010,2010,Cohabiting Couple,1077000,1077
2011,2011,Cohabiting Couple,1107000,1107
2012,2012,Cohabiting Couple,1131000,1131
2013,2013,Cohabiting Couple,1170000,1170
2014,2014,Cohabiting Couple,1163000,1163
2015,2015,Cohabiting Couple,1251000,1251
2016,2016,Cohabiting Couple,1265000,1265
2017,2017,Cohabiting Couple,1248000,1248
2018,2018,Cohabiting Couple,1285000,1285
2019,2019,Cohabiting Couple,1307000,1307
2020,2020,Cohabiting Couple,1242000,1242
2021,2021,Cohabiting Couple,1170000,1170
1996,1996,Lone Mother,1466000,1466
1997,1997,Lone Mother,1463000,1463
1998,1998,Lone Mother,1558000,1558
1999,1999,Lone Mother,1579000,1579
2000,2000,Lone Mother,1550000,1550
2001,2001,Lone Mother,1575000,1575
2002,2002,Lone Mother,1636000,1636
2003,2003,Lone Mother,1626000,1626
2004,2004,Lone Mother,1686000,1686
2005,2005,Lone Mother,1708000,1708
2006,2006,Lone Mother,1701000,1701
2007,2007,Lone Mother,1713000,1713
2008,2008,Lone Mother,1736000,1736
2009,2009,Lone Mother,1803000,1803
2010,2010,Lone Mother,1813000,1813
2011,2011,Lone Mother,1826000,1826
2012,2012,Lone Mother,1877000,1877
2013,2013,Lone Mother,1807000,1807
2014,2014,Lone Mother,1815000,1815
2015,2015,Lone Mother,1771000,1771
2016,2016,Lone Mother,1692000,1692
2017,2017,Lone Mother,1604000,1604
2018,2018,Lone Mother,1645000,1645
2019,2019,Lone Mother,1622000,1622
2020,2020,Lone Mother,1537000,1537
2021,2021,Lone Mother,1663000,1663
1996,1996,Lone Father,164000,164
1997,1997,Lone Father,150000,150
1998,1998,Lone Father,161000,161
1999,1999,Lone Father,163000,163
2000,2000,Lone Father,147000,147
2001,2001,Lone Father,170000,170
2002,2002,Lone Father,172000,172
2003,2003,Lone Father,178000,178
2004,2004,Lone Father,183000,183
2005,2005,Lone Father,175000,175
2006,2006,Lone Father,169000,169
2007,2007,Lone Father,167000,167
2008,2008,Lone Father,169000,169
2009,2009,Lone Father,185000,185
2010,2010,Lone Father,188000,188
2011,2011,Lone Father,165000,165
2012,2012,Lone Father,178000,178
2013,2013,Lone Father,168000,168
2014,2014,Lone Father,172000,172
2015,2015,Lone Father,203000,203
2016,2016,Lone Father,181000,181
2017,2017,Lone Father,180000,180
2018,2018,Lone Father,178000,178
2019,2019,Lone Father,172000,172
2020,2020,Lone Father,205000,205
2021,2021,Lone Father,204000,204
