year,avg,First child,Second child,Third child,Fourth child,Year
2020,30.7,29.1,31.4,32.4,33.3,2020
2019,30.7,28.9,31.3,32.3,33.2,2019
2018,30.6,28.9,31.2,32.2,33.1,2018
2017,30.5,28.8,31,32,33,2017
2016,30.4,28.8,30.9,31.9,32.9,2016
2015,30.3,28.6,30.6,31.7,32.7,2015
2014,30.2,28.5,30.5,31.6,32.5,2014
2013,30,28.3,30.3,31.4,32.4,2013
2012,29.8,28.1,30.1,31.4,32.5,2012
2011,29.7,27.9,30.1,31.5,32.8,2011
2010,29.5,27.7,30,31.4,32.7,2010
2009,29.4,27.6,29.9,31.3,32.6,2009
2008,29.3,27.5,29.8,31.3,32.6,2008
2007,29.3,27.5,29.8,31.3,32.6,2007
2006,29.2,27.3,29.7,31.2,32.5,2006
2005,29.1,27.2,29.6,31.1,32.5,2005
2004,29,27.1,29.5,31,32.4,2004
2003,28.8,27,29.4,31,32.3,2003
2002,28.7,26.8,29.3,31,32.1,2002
2001,28.6,26.6,29.2,31,31.9,2001
2000,28.5,26.5,29.1,30.9,31.7,2000
1999,28.4,26.4,29,30.8,31.6,1999
1998,28.3,26.3,29,30.7,31.5,1998
1997,28.3,26.1,28.9,30.6,31.4,1997
1996,28.2,26.1,28.8,30.4,31.3,1996
1995,28.2,26.1,28.7,30.2,31.3,1995
1994,28.1,26,28.6,30.1,31.3,1994
1993,27.9,25.8,28.4,30,31.2,1993
1992,27.9,25.8,28.3,29.9,31.2,1992
1991,27.7,25.6,28.2,29.9,31.2,1991
1990,27.7,25.5,28.1,29.8,31.2,1990
1989,27.6,25.4,28,29.7,31.2,1989
1988,27.5,25.3,27.9,29.6,31.1,1988
1987,27.5,25.3,27.8,29.6,31.1,1987
1986,27.4,25.2,27.7,29.6,31.1,1986
1985,27.3,25.1,27.7,29.5,31,1985
1984,27.3,25.1,27.6,29.4,30.9,1984
1983,27.2,25,27.4,29.4,30.9,1983
1982,27.1,24.9,27.3,29.3,30.9,1982
1981,27,24.8,27.3,29.2,31,1981
1980,26.9,24.7,27.1,29.2,30.9,1980
1979,26.8,24.7,27.1,29.1,30.9,1979
1978,26.7,24.6,27,29,30.9,1978
1977,26.6,24.5,26.9,28.9,30.9,1977
1976,26.5,24.4,26.7,28.8,30.8,1976
1975,26.4,24.2,26.5,28.7,30.8,1975
1974,26.4,24,26.5,28.8,30.8,1974
1973,26.4,23.9,26.4,28.9,30.9,1973
1972,26.5,23.8,26.4,28.9,31,1972
1971,26.6,23.7,26.4,29,30.9,1971
1970,26.7,23.7,26.5,29,30.8,1970
1969,26.9,23.7,26.6,29.1,31,1969
1968,27,23.8,26.7,29.1,30.9,1968
1967,27.1,23.9,26.7,29.2,31,1967
1966,27.1,24,26.8,29.1,30.9,1966
1965,27.3,24.1,26.8,29.2,30.9,1965
1964,27.3,24.2,26.9,29.2,30.8,1964
1963,27.3,24.3,27,29.2,30.9,1963
1962,27.4,24.3,27.1,29.3,31,1962
1961,27.4,24.4,27.2,29.5,31.2,1961
1960,27.5,24.5,27.3,29.6,31.3,1960
1959,27.5,24.6,27.3,29.7,31.4,1959
1958,27.6,24.6,27.5,29.8,31.6,1958
1957,27.6,24.7,27.6,29.9,31.7,1957
1956,27.7,24.7,27.6,30,31.8,1956
1955,27.8,24.8,27.7,30.1,31.8,1955
1954,27.9,24.9,27.8,30.2,31.9,1954
1953,28,24.9,27.9,30.3,32,1953
1952,28.1,24.9,28,30.3,32.2,1952
1951,28.2,25.1,28.2,30.3,32,1951
1950,28.2,25.1,28.3,30.4,32.2,1950
1949,28.3,25.2,28.4,30.7,32.4,1949
1948,28.5,25.4,28.7,31,32.7,1948
1947,28.7,25.9,29.1,31.3,32.9,1947
1946,29.1,26.2,29.5,31.5,33,1946
1945,29.1,25.8,29.4,31.6,33.1,1945
1944,29.3,26.1,29.4,31.6,33.1,1944
1943,29.1,26.1,29.3,31.4,33,1943
1942,28.8,25.9,28.9,31.1,32.7,1942
1941,28.7,25.7,28.5,30.8,32.5,1941
1940,28.8,25.8,28.5,30.6,32.3,1940
1939,28.9,26,28.6,30.6,32.4,1939
1938,29,25.9,28.6,30.6,32.4,1938
