father age,frank,mother age,mrank,births,logbirth
Under 20,1,Under 20,1,4403,88.02880682
Under 20,1,20 to 24      ,2,1069,73.17664205
Under 20,1,25 to 29      ,3,131,51.15085643
Under 20,1,30 to 34      ,4,42,39.21584899
Under 20,1,35 to 39      ,5,10,24.15885793
Under 20,1,40 to 44      ,6,2,7.272540897
Under 20,1,45 and over,7,0,0
20 to 24      ,2,Under 20,1,5460,90.28630611
20 to 24      ,2,20 to 24      ,2,24499,106.0368116
20 to 24      ,2,25 to 29      ,3,5272,89.91867494
20 to 24      ,2,30 to 34      ,4,1439,76.29514205
20 to 24      ,2,35 to 39      ,5,371,62.07313925
20 to 24      ,2,40 to 44      ,6,61,43.13152984
20 to 24      ,2,45 and over,7,4,14.54508179
25 to 29      ,3,Under 20,1,1125,73.71236031
25 to 29      ,3,20 to 24      ,2,20964,104.4018801
25 to 29      ,3,25 to 29      ,3,38904,110.8890191
25 to 29      ,3,30 to 34      ,4,9845,96.47153127
25 to 29      ,3,35 to 39      ,5,2273,81.09160889
25 to 29      ,3,40 to 44      ,6,343,61.24981045
25 to 29      ,3,45 and over,7,11,25.15885793
30 to 34      ,4,Under 20,1,388,62.54321786
30 to 34      ,4,20 to 24      ,2,6354,91.87727725
30 to 34      ,4,25 to 29      ,3,27389,107.2067724
30 to 34      ,4,30 to 34      ,4,31545,108.6890235
30 to 34      ,4,35 to 39      ,5,7605,93.76292462
30 to 34      ,4,40 to 44      ,6,1032,72.80705965
30 to 34      ,4,45 and over,7,43,39.46273235
35 to 39      ,5,Under 20,1,95,47.7795436
35 to 39      ,5,20 to 24      ,2,1864,79.01023805
35 to 39      ,5,25 to 29      ,3,8187,94.53662587
35 to 39      ,5,30 to 34      ,4,17826,102.7006073
35 to 39      ,5,35 to 39      ,5,14476,100.5165178
35 to 39      ,5,40 to 44      ,6,2284,81.14226189
35 to 39      ,5,45 and over,7,103,48.62784854
40 to 44      ,6,Under 20,1,35,37.30292051
40 to 44      ,6,20 to 24      ,2,594,67.01151265
40 to 44      ,6,25 to 29      ,3,2366,81.51234276
40 to 44      ,6,30 to 34      ,4,5695,90.72843943
40 to 44      ,6,35 to 39      ,5,7997,94.29026122
40 to 44      ,6,40 to 44      ,6,3399,85.31341108
40 to 44      ,6,45 and over,7,168,53.76093078
45 to 49      ,7,Under 20,1,11,25.15885793
45 to 49      ,7,20 to 24      ,2,221,56.63783987
45 to 49      ,7,25 to 29      ,3,835,70.58460847
45 to 49      ,7,30 to 34      ,4,1807,78.68438929
45 to 49      ,7,35 to 39      ,5,2790,83.24186242
45 to 49      ,7,40 to 44      ,6,1654,77.75614201
45 to 49      ,7,45 and over,7,224,56.77930797
50 to 54      ,8,Under 20,1,5,16.88631703
50 to 54      ,8,20 to 24      ,2,95,47.7795436
50 to 54      ,8,25 to 29      ,3,376,62.21359728
50 to 54      ,8,30 to 34      ,4,712,68.91265891
50 to 54      ,8,35 to 39      ,5,927,71.68125776
50 to 54      ,8,40 to 44      ,6,564,66.46776099
50 to 54      ,8,45 and over,7,105,48.82962512
55 to 59      ,9,Under 20,1,2,7.272540897
55 to 59      ,9,20 to 24      ,2,42,39.21584899
55 to 59      ,9,25 to 29      ,3,133,51.30983005
55 to 59      ,9,30 to 34      ,4,229,57.01093015
55 to 59      ,9,35 to 39      ,5,309,60.15455315
55 to 59      ,9,40 to 44      ,6,203,55.74646895
55 to 59      ,9,45 and over,7,57,42.41993118
60 to 64      ,99,Under 20,1,1,0
60 to 64      ,99,20 to 24      ,2,8,21.81762269
60 to 64      ,99,25 to 29      ,3,31,36.02959528
60 to 64      ,99,30 to 34      ,4,62,43.30213618
60 to 64      ,99,35 to 39      ,5,99,48.21226714
60 to 64      ,99,40 to 44      ,6,51,41.25294529
60 to 64      ,99,45 and over,7,12,26.0717864
65 and over,999,Under 20,1,0,0
65 and over,999,20 to 24      ,2,4,14.54508179
65 and over,999,25 to 29      ,3,6,18.7992455
65 and over,999,30 to 34      ,4,15,28.41302164
65 and over,999,35 to 39      ,5,30,35.68556254
65 and over,999,40 to 44      ,6,22,32.43139883
65 and over,999,45 and over,7,3,11.52670461
