date,cntas,country,asset,Year
01/07/2006,845169,Federal Reserve System,845169,2006
01/10/2006,857002,Federal Reserve System,857002,2006
01/01/2007,865283,Federal Reserve System,865283,2007
01/04/2007,870329,Federal Reserve System,870329,2007
01/07/2007,871863,Federal Reserve System,871863,2007
01/10/2007,882967,Federal Reserve System,882967,2007
01/01/2008,889325,Federal Reserve System,889325,2008
01/04/2008,891236,Federal Reserve System,891236,2008
01/07/2008,937908,Federal Reserve System,937908,2008
01/10/2008,2023719,Federal Reserve System,2023719,2008
01/01/2009,1966766,Federal Reserve System,1966766,2009
01/04/2009,2106421,Federal Reserve System,2106421,2009
01/07/2009,2061508,Federal Reserve System,2061508,2009
01/10/2009,2192677,Federal Reserve System,2192677,2009
01/01/2010,2275870,Federal Reserve System,2275870,2010
01/04/2010,2334581,Federal Reserve System,2334581,2010
01/07/2010,2316060,Federal Reserve System,2316060,2010
01/10/2010,2342764,Federal Reserve System,2342764,2010
01/01/2011,2516460,Federal Reserve System,2516460,2011
01/04/2011,2756634,Federal Reserve System,2756634,2011
01/07/2011,2863445,Federal Reserve System,2863445,2011
01/10/2011,2854890,Federal Reserve System,2854890,2011
01/01/2012,2911888,Federal Reserve System,2911888,2012
01/04/2012,2862443,Federal Reserve System,2862443,2012
01/07/2012,2837341,Federal Reserve System,2837341,2012
01/10/2012,2858947,Federal Reserve System,2858947,2012
01/01/2013,3060648,Federal Reserve System,3060648,2013
01/04/2013,3353623,Federal Reserve System,3353623,2013
01/07/2013,3613485,Federal Reserve System,3613485,2013
01/10/2013,3889295,Federal Reserve System,3889295,2013
01/01/2014,4127964,Federal Reserve System,4127964,2014
01/04/2014,4311948,Federal Reserve System,4311948,2014
01/07/2014,4414642,Federal Reserve System,4414642,2014
01/10/2014,4484785,Federal Reserve System,4484785,2014
01/01/2015,4497297,Federal Reserve System,4497297,2015
01/04/2015,4480482,Federal Reserve System,4480482,2015
01/07/2015,4485814,Federal Reserve System,4485814,2015
01/10/2015,4489102,Federal Reserve System,4489102,2015
01/01/2016,4486484,Federal Reserve System,4486484,2016
01/04/2016,4475798,Federal Reserve System,4475798,2016
01/07/2016,4468330,Federal Reserve System,4468330,2016
01/10/2016,4457911,Federal Reserve System,4457911,2016
01/01/2017,4460615,Federal Reserve System,4460615,2017
01/04/2017,4471341,Federal Reserve System,4471341,2017
01/07/2017,4463849,Federal Reserve System,4463849,2017
01/10/2017,4452972,Federal Reserve System,4452972,2017
01/01/2018,4418993,Federal Reserve System,4418993,2018
01/04/2018,4346987,Federal Reserve System,4346987,2018
01/07/2018,4243144,Federal Reserve System,4243144,2018
01/10/2018,4128102,Federal Reserve System,4128102,2018
01/01/2019,4009351,Federal Reserve System,4009351,2019
01/04/2019,3881489,Federal Reserve System,3881489,2019
01/07/2019,3795758,Federal Reserve System,3795758,2019
01/10/2019,4037312,Federal Reserve System,4037312,2019
01/01/2020,4304006,Federal Reserve System,4304006,2020
01/04/2020,6753313,Federal Reserve System,6753313,2020
01/07/2020,6996256,Federal Reserve System,6996256,2020
01/10/2020,7225935,Federal Reserve System,7225935,2020
30/09/2020,894910,Bank of England,1163383,2020
30/06/2020,825973,Bank of England,1073765,2020
31/03/2020,655852,Bank of England,852608,2020
31/12/2019,597929,Bank of England,777308,2019
30/09/2019,605436,Bank of England,787067,2019
30/06/2019,607467,Bank of England,789707,2019
31/03/2019,608848,Bank of England,791502,2019
31/12/2018,604789,Bank of England,786226,2018
30/09/2018,608447,Bank of England,790981,2018
30/06/2018,606970,Bank of England,789061,2018
31/03/2018,606767,Bank of England,788797,2018
31/12/2017,583890,Bank of England,759057,2017
30/09/2017,567206,Bank of England,737368,2017
30/06/2017,560874,Bank of England,729136,2017
31/03/2017,539184,Bank of England,700939,2017
31/12/2016,490004,Bank of England,637005,2016
30/09/2016,449882,Bank of England,584847,2016
30/06/2016,430159,Bank of England,559207,2016
31/03/2016,423246,Bank of England,550220,2016
31/12/2015,419494,Bank of England,545342,2015
30/09/2015,419221,Bank of England,544987,2015
30/06/2015,416873,Bank of England,541935,2015
31/03/2015,410775,Bank of England,534008,2015
31/12/2014,406582,Bank of England,528557,2014
30/09/2014,405065,Bank of England,526585,2014
24/09/2014,405132,Bank of England,526672,2014
17/09/2014,404299,Bank of England,525589,2014
10/09/2014,404953,Bank of England,526439,2014
03/09/2014,405455,Bank of England,527092,2014
27/08/2014,405184,Bank of England,526739,2014
20/08/2014,404945,Bank of England,526429,2014
13/08/2014,404956,Bank of England,526443,2014
06/08/2014,405170,Bank of England,526721,2014
30/07/2014,404971,Bank of England,526462,2014
23/07/2014,404980,Bank of England,526474,2014
16/07/2014,404806,Bank of England,526248,2014
09/07/2014,404964,Bank of England,526453,2014
02/07/2014,404588,Bank of England,525964,2014
30/06/2014,404053,Bank of England,525269,2014
25/06/2014,404797,Bank of England,526236,2014
18/06/2014,404280,Bank of England,525564,2014
11/06/2014,403371,Bank of England,524382,2014
04/06/2014,403179,Bank of England,524133,2014
28/05/2014,403425,Bank of England,524453,2014
21/05/2014,403174,Bank of England,524126,2014
14/05/2014,402786,Bank of England,523622,2014
07/05/2014,403409,Bank of England,524432,2014
30/04/2014,403613,Bank of England,524697,2014
23/04/2014,403335,Bank of England,524336,2014
16/04/2014,403722,Bank of England,524839,2014
09/04/2014,403888,Bank of England,525054,2014
02/04/2014,404026,Bank of England,525234,2014
31/03/2014,403564,Bank of England,524633,2014
26/03/2014,403786,Bank of England,524922,2014
19/03/2014,404304,Bank of England,525595,2014
12/03/2014,405312,Bank of England,526906,2014
05/03/2014,403709,Bank of England,524822,2014
26/02/2014,403617,Bank of England,524702,2014
19/02/2014,403089,Bank of England,524016,2014
12/02/2014,402162,Bank of England,522811,2014
05/02/2014,402814,Bank of England,523658,2014
29/01/2014,402280,Bank of England,522964,2014
22/01/2014,401867,Bank of England,522427,2014
15/01/2014,401622,Bank of England,522109,2014
08/01/2014,401472,Bank of England,521914,2014
01/01/2014,401261,Bank of England,521639,2014
31/12/2013,401181,Bank of England,521535,2013
25/12/2013,401729,Bank of England,522248,2013
18/12/2013,401479,Bank of England,521923,2013
11/12/2013,401388,Bank of England,521804,2013
04/12/2013,401973,Bank of England,522565,2013
27/11/2013,403430,Bank of England,524459,2013
20/11/2013,404272,Bank of England,525554,2013
13/11/2013,404868,Bank of England,526328,2013
06/11/2013,404340,Bank of England,525642,2013
30/10/2013,403291,Bank of England,524278,2013
23/10/2013,402950,Bank of England,523835,2013
16/10/2013,403215,Bank of England,524180,2013
09/10/2013,403246,Bank of England,524220,2013
02/10/2013,402275,Bank of England,522958,2013
30/09/2013,402005,Bank of England,522607,2013
25/09/2013,402990,Bank of England,523887,2013
18/09/2013,403261,Bank of England,524239,2013
11/09/2013,402949,Bank of England,523834,2013
04/09/2013,403987,Bank of England,525183,2013
28/08/2013,404591,Bank of England,525968,2013
21/08/2013,404377,Bank of England,525690,2013
14/08/2013,404566,Bank of England,525936,2013
07/08/2013,404995,Bank of England,526494,2013
31/07/2013,404889,Bank of England,526356,2013
24/07/2013,404055,Bank of England,525272,2013
17/07/2013,403789,Bank of England,524926,2013
10/07/2013,403965,Bank of England,525155,2013
03/07/2013,403852,Bank of England,525008,2013
26/06/2013,404092,Bank of England,525320,2013
19/06/2013,404220,Bank of England,525486,2013
12/06/2013,403386,Bank of England,524402,2013
05/06/2013,403404,Bank of England,524425,2013
29/05/2013,403771,Bank of England,524902,2013
22/05/2013,404294,Bank of England,525582,2013
15/05/2013,402779,Bank of England,523613,2013
08/05/2013,402968,Bank of England,523858,2013
01/05/2013,403381,Bank of England,524395,2013
24/04/2013,403858,Bank of England,525015,2013
17/04/2013,404071,Bank of England,525292,2013
10/04/2013,403969,Bank of England,525160,2013
03/04/2013,403797,Bank of England,524936,2013
27/03/2013,404061,Bank of England,525279,2013
20/03/2013,403680,Bank of England,524784,2013
13/03/2013,405567,Bank of England,527237,2013
06/03/2013,402819,Bank of England,523665,2013
27/02/2013,402431,Bank of England,523160,2013
20/02/2013,404228,Bank of England,525496,2013
13/02/2013,404054,Bank of England,525270,2013
06/02/2013,404410,Bank of England,525733,2013
30/01/2013,404517,Bank of England,525872,2013
23/01/2013,405346,Bank of England,526950,2013
16/01/2013,409853,Bank of England,532809,2013
09/01/2013,409852,Bank of England,532808,2013
02/01/2013,410223,Bank of England,533290,2013
26/12/2012,410381,Bank of England,533495,2012
19/12/2012,414611,Bank of England,538994,2012
12/12/2012,415099,Bank of England,539629,2012
05/12/2012,414552,Bank of England,538918,2012
28/11/2012,414839,Bank of England,539291,2012
21/11/2012,414343,Bank of England,538646,2012
14/11/2012,414455,Bank of England,538792,2012
07/11/2012,414472,Bank of England,538814,2012
31/10/2012,413868,Bank of England,538028,2012
24/10/2012,411001,Bank of England,534301,2012
17/10/2012,407839,Bank of England,530191,2012
10/10/2012,404623,Bank of England,526010,2012
03/10/2012,402087,Bank of England,522713,2012
26/09/2012,399508,Bank of England,519360,2012
19/09/2012,396239,Bank of England,515111,2012
12/09/2012,393093,Bank of England,511021,2012
05/09/2012,390996,Bank of England,508295,2012
29/08/2012,386729,Bank of England,502748,2012
22/08/2012,384990,Bank of England,500487,2012
15/08/2012,381014,Bank of England,495318,2012
08/08/2012,378346,Bank of England,491850,2012
01/08/2012,375949,Bank of England,488734,2012
25/07/2012,372565,Bank of England,484335,2012
18/07/2012,365522,Bank of England,475179,2012
11/07/2012,362721,Bank of England,471537,2012
04/07/2012,360450,Bank of England,468585,2012
27/06/2012,360367,Bank of England,468477,2012
20/06/2012,355316,Bank of England,461911,2012
13/06/2012,355610,Bank of England,462293,2012
06/06/2012,356319,Bank of England,463215,2012
30/05/2012,356177,Bank of England,463030,2012
23/05/2012,356252,Bank of England,463128,2012
16/05/2012,356806,Bank of England,463848,2012
09/05/2012,356368,Bank of England,463278,2012
02/05/2012,355451,Bank of England,462086,2012
25/04/2012,351251,Bank of England,456626,2012
18/04/2012,345930,Bank of England,449709,2012
11/04/2012,341042,Bank of England,443355,2012
04/04/2012,338303,Bank of England,439794,2012
28/03/2012,334150,Bank of England,434395,2012
21/03/2012,331625,Bank of England,431113,2012
14/03/2012,329620,Bank of England,428506,2012
07/03/2012,324565,Bank of England,421935,2012
29/02/2012,321228,Bank of England,417596,2012
22/02/2012,313518,Bank of England,407573,2012
15/02/2012,311459,Bank of England,404897,2012
08/02/2012,308344,Bank of England,400847,2012
01/02/2012,306428,Bank of England,398356,2012
25/01/2012,301472,Bank of England,391914,2012
18/01/2012,296927,Bank of England,386005,2012
11/01/2012,297146,Bank of England,386290,2012
04/01/2012,292222,Bank of England,379889,2012
28/12/2011,290246,Bank of England,377320,2011
21/12/2011,290062,Bank of England,377081,2011
14/12/2011,290851,Bank of England,378106,2011
07/12/2011,285580,Bank of England,371254,2011
30/11/2011,281859,Bank of England,366417,2011
23/11/2011,276556,Bank of England,359523,2011
16/11/2011,272689,Bank of England,354496,2011
09/11/2011,266972,Bank of England,347064,2011
02/11/2011,261148,Bank of England,339492,2011
26/10/2011,256207,Bank of England,333069,2011
19/10/2011,250712,Bank of England,325926,2011
12/10/2011,245817,Bank of England,319562,2011
05/10/2011,242597,Bank of England,315376,2011
28/09/2011,243044,Bank of England,315957,2011
21/09/2011,243824,Bank of England,316971,2011
14/09/2011,241557,Bank of England,314024,2011
07/09/2011,241773,Bank of England,314305,2011
31/08/2011,240199,Bank of England,312259,2011
24/08/2011,239981,Bank of England,311975,2011
17/08/2011,239904,Bank of England,311875,2011
10/08/2011,239878,Bank of England,311841,2011
03/08/2011,238254,Bank of England,309730,2011
27/07/2011,237843,Bank of England,309196,2011
20/07/2011,237220,Bank of England,308386,2011
13/07/2011,235114,Bank of England,305648,2011
06/07/2011,236330,Bank of England,307229,2011
29/06/2011,236159,Bank of England,307007,2011
22/06/2011,236552,Bank of England,307518,2011
15/06/2011,239202,Bank of England,310963,2011
08/06/2011,239396,Bank of England,311215,2011
01/06/2011,239390,Bank of England,311207,2011
25/05/2011,239608,Bank of England,311490,2011
18/05/2011,239889,Bank of England,311856,2011
11/05/2011,240210,Bank of England,312273,2011
04/05/2011,240123,Bank of England,312160,2011
27/04/2011,240221,Bank of England,312287,2011
20/04/2011,240529,Bank of England,312688,2011
13/04/2011,241573,Bank of England,314045,2011
06/04/2011,242189,Bank of England,314846,2011
30/03/2011,242484,Bank of England,315229,2011
23/03/2011,242592,Bank of England,315370,2011
16/03/2011,242580,Bank of England,315354,2011
09/03/2011,244526,Bank of England,317884,2011
02/03/2011,245070,Bank of England,318591,2011
23/02/2011,240835,Bank of England,313086,2011
16/02/2011,241642,Bank of England,314135,2011
09/02/2011,241891,Bank of England,314458,2011
02/02/2011,241131,Bank of England,313470,2011
26/01/2011,241619,Bank of England,314105,2011
