year,series,value,Year
2018,Single Men,32,2018
2017,Single Men,31.8,2017
2016,Single Men,31.6,2016
2015,Single Men,31.5,2015
2014,Single Men,31.2,2014
2013,Single Men,31.1,2013
2012,Single Men,31,2012
2011,Single Men,30.9,2011
2010,Single Men,30.8,2010
2009,Single Men,30.8,2009
2008,Single Men,30.8,2008
2007,Single Men,30.8,2007
2006,Single Men,30.8,2006
2005,Single Men,30.7,2005
2004,Single Men,30.4,2004
2003,Single Men,30.3,2003
2002,Single Men,30.5,2002
2001,Single Men,29.7,2001
2000,Single Men,29.6,2000
1999,Single Men,29.2,1999
1998,Single Men,28.9,1998
1997,Single Men,28.6,1997
1996,Single Men,28.3,1996
1995,Single Men,27.9,1995
1994,Single Men,27.5,1994
1993,Single Men,27.2,1993
1992,Single Men,26.8,1992
1991,Single Men,26.5,1991
1990,Single Men,26.1,1990
1989,Single Men,25.8,1989
1988,Single Men,25.6,1988
1987,Single Men,25.3,1987
1986,Single Men,25.1,1986
1985,Single Men,24.9,1985
1984,Single Men,24.7,1984
1983,Single Men,24.5,1983
1982,Single Men,24.3,1982
1981,Single Men,24.1,1981
1980,Single Men,24,1980
1979,Single Men,23.9,1979
1978,Single Men,23.8,1978
1977,Single Men,23.8,1977
1976,Single Men,23.7,1976
1975,Single Men,23.6,1975
1974,Single Men,23.6,1974
1973,Single Men,23.5,1973
1972,Single Men,23.5,1972
1971,Single Men,23.4,1971
1970,Single Men,23.2,1970
1969,Single Men,23.1,1969
1968,Single Men,23.2,1968
1967,Single Men,23.3,1967
1966,Single Men,23.4,1966
1965,Single Men,23.5,1965
1964,Single Men,23.8,1964
1963,Single Men,23.9,1963
1962,Single Men,24,1962
1961,Single Men,24.1,1961
1960,Single Men,24.1,1960
1959,Single Men,24.2,1959
1958,Single Men,24.3,1958
1957,Single Men,24.4,1957
1956,Single Men,24.6,1956
1955,Single Men,24.7,1955
1954,Single Men,24.8,1954
1953,Single Men,24.9,1953
1952,Single Men,25.1,1952
1951,Single Men,25.1,1951
1950,Single Men,25.3,1950
1949,Single Men,25.4,1949
1948,Single Men,25.6,1948
1947,Single Men,25.8,1947
2018,Divorced Men,51,2018
2017,Divorced Men,50.5,2017
2016,Divorced Men,50,2016
2015,Divorced Men,49.2,2015
2014,Divorced Men,48.6,2014
2013,Divorced Men,47.9,2013
2012,Divorced Men,47.4,2012
2011,Divorced Men,46.7,2011
2010,Divorced Men,46.3,2010
2009,Divorced Men,46.1,2009
2008,Divorced Men,45.9,2008
2007,Divorced Men,45.4,2007
2006,Divorced Men,44.8,2006
2005,Divorced Men,44.2,2005
2004,Divorced Men,43.6,2004
2003,Divorced Men,43.3,2003
2002,Divorced Men,42.6,2002
2001,Divorced Men,42,2001
2000,Divorced Men,41.8,2000
1999,Divorced Men,41.2,1999
1998,Divorced Men,40.8,1998
1997,Divorced Men,40.5,1997
1996,Divorced Men,40.2,1996
1995,Divorced Men,39.8,1995
1994,Divorced Men,39.6,1994
1993,Divorced Men,39.4,1993
1992,Divorced Men,39.2,1992
1991,Divorced Men,39,1991
1990,Divorced Men,38.9,1990
1989,Divorced Men,38.7,1989
1988,Divorced Men,38.4,1988
1987,Divorced Men,37.8,1987
1986,Divorced Men,37.7,1986
1985,Divorced Men,37.3,1985
1984,Divorced Men,37,1984
1983,Divorced Men,36.6,1983
1982,Divorced Men,36.3,1982
1981,Divorced Men,35.9,1981
1980,Divorced Men,35.8,1980
1979,Divorced Men,35.7,1979
1978,Divorced Men,35.7,1978
1977,Divorced Men,35.7,1977
1976,Divorced Men,36,1976
1975,Divorced Men,36.1,1975
1974,Divorced Men,36.3,1974
1973,Divorced Men,36.8,1973
1972,Divorced Men,38.3,1972
1971,Divorced Men,37,1971
1970,Divorced Men,36.1,1970
1969,Divorced Men,36.4,1969
1968,Divorced Men,36.7,1968
1967,Divorced Men,37.3,1967
1966,Divorced Men,37.4,1966
1965,Divorced Men,37.8,1965
1964,Divorced Men,38.2,1964
1963,Divorced Men,38.7,1963
1962,Divorced Men,39.1,1962
1961,Divorced Men,39.2,1961
1960,Divorced Men,39.5,1960
1959,Divorced Men,39.4,1959
1958,Divorced Men,39.2,1958
1957,Divorced Men,39,1957
1956,Divorced Men,39.3,1956
1955,Divorced Men,39.1,1955
1954,Divorced Men,39.1,1954
1953,Divorced Men,38.9,1953
1952,Divorced Men,38.5,1952
1951,Divorced Men,38,1951
1950,Divorced Men,37.3,1950
1949,Divorced Men,37,1949
1948,Divorced Men,36.4,1948
1947,Divorced Men,36.4,1947
2018,Single Women,30,2018
2017,Single Women,30.1,2017
2016,Single Women,29.9,2016
2015,Single Women,29.7,2015
2014,Single Women,29.5,2014
2013,Single Women,29.3,2013
2012,Single Women,29.1,2012
2011,Single Women,29.1,2011
2010,Single Women,29,2010
