date,value,month,day
01-Jan,330,January,1
02-Jan,2638,January,2
03-Jan,2761,January,3
04-Jan,2266,January,4
05-Jan,2623,January,5
06-Jan,1946,January,6
07-Jan,2589,January,7
08-Jan,2004,January,8
09-Jan,2694,January,9
10-Jan,2499,January,10
11-Jan,1794,January,11
12-Jan,2321,January,12
13-Jan,1231,January,13
14-Jan,2312,January,14
15-Jan,1887,January,15
16-Jan,2685,January,16
17-Jan,2220,January,17
18-Jan,1836,January,18
19-Jan,2359,January,19
20-Jan,1987,January,20
21-Jan,2445,January,21
22-Jan,1812,January,22
23-Jan,2583,January,23
24-Jan,2482,January,24
25-Jan,2230,January,25
26-Jan,2858,January,26
27-Jan,2104,January,27
28-Jan,2725,January,28
29-Jan,2168,January,29
30-Jan,3003,January,30
31-Jan,2780,January,31
01-Feb,2192,February,1
02-Feb,2871,February,2
03-Feb,1904,February,3
04-Feb,2645,February,4
05-Feb,2183,February,5
06-Feb,3282,February,6
07-Feb,3007,February,7
08-Feb,2232,February,8
09-Feb,2975,February,9
10-Feb,2485,February,10
11-Feb,3342,February,11
12-Feb,2929,February,12
13-Feb,3658,February,13
14-Feb,10726,February,14
15-Feb,3565,February,15
16-Feb,4442,February,16
17-Feb,3239,February,17
18-Feb,3995,February,18
19-Feb,3415,February,19
20-Feb,4627,February,20
21-Feb,4188,February,21
22-Feb,3288,February,22
23-Feb,3835,February,23
24-Feb,2994,February,24
25-Feb,3746,February,25
26-Feb,2934,February,26
27-Feb,3964,February,27
28-Feb,4105,February,28
29/02,1880,February,29
01-Mar,4548,March,1
02-Mar,2850,March,2
03-Mar,3661,March,3
04-Mar,2871,March,4
05-Mar,3823,March,5
06-Mar,3343,March,6
07-Mar,4395,March,7
08-Mar,3916,March,8
09-Mar,2928,March,9
10-Mar,4003,March,10
11-Mar,2868,March,11
12-Mar,4161,March,12
13-Mar,2456,March,13
14-Mar,4919,March,14
15-Mar,4553,March,15
16-Mar,3710,March,16
17-Mar,4698,March,17
18-Mar,3565,March,18
19-Mar,4669,March,19
20-Mar,4581,March,20
21-Mar,5266,March,21
22-Mar,5510,March,22
23-Mar,4645,March,23
24-Mar,5841,March,24
25-Mar,4459,March,25
26-Mar,6058,March,26
27-Mar,5366,March,27
28-Mar,7314,March,28
29-Mar,6898,March,29
30-Mar,5332,March,30
31-Mar,7117,March,31
01-Apr,4643,April,1
02-Apr,6442,April,2
03-Apr,4984,April,3
04-Apr,8196,April,4
05-Apr,8327,April,5
06-Apr,5830,April,6
07-Apr,7151,April,7
08-Apr,5923,April,8
09-Apr,7043,April,9
10-Apr,6008,April,10
11-Apr,7666,April,11
12-Apr,8085,April,12
13-Apr,5089,April,13
14-Apr,6908,April,14
15-Apr,4973,April,15
16-Apr,7177,April,16
17-Apr,6041,April,17
18-Apr,7029,April,18
19-Apr,6459,April,19
20-Apr,6150,April,20
21-Apr,7302,April,21
22-Apr,4428,April,22
23-Apr,6470,April,23
24-Apr,5826,April,24
25-Apr,7768,April,25
26-Apr,7785,April,26
27-Apr,6004,April,27
28-Apr,7737,April,28
29-Apr,5445,April,29
30-Apr,8444,April,30
01-May,8435,May,1
02-May,9309,May,2
03-May,9694,May,3
04-May,7894,May,4
05-May,8939,May,5
06-May,7032,May,6
07-May,7633,May,7
08-May,5981,May,8
09-May,8103,May,9
10-May,8457,May,10
11-May,5909,May,11
12-May,8297,May,12
13-May,4347,May,13
14-May,8493,May,14
15-May,6896,May,15
16-May,9029,May,16
17-May,8463,May,17
18-May,7089,May,18
19-May,8713,May,19
20-May,7094,May,20
21-May,9794,May,21
22-May,7947,May,22
23-May,11434,May,23
24-May,12561,May,24
25-May,10196,May,25
26-May,12307,May,26
27-May,9861,May,27
28-May,13513,May,28
29-May,11529,May,29
30-May,13106,May,30
31-May,11669,May,31
01-Jun,10044,June,1
02-Jun,11708,June,2
03-Jun,9458,June,3
04-Jun,11891,June,4
05-Jun,8264,June,5
06-Jun,12616,June,6
07-Jun,10937,June,7
08-Jun,7525,June,8
09-Jun,9421,June,9
10-Jun,7424,June,10
11-Jun,10232,June,11
12-Jun,7966,June,12
13-Jun,8409,June,13
14-Jun,10886,June,14
15-Jun,7259,June,15
16-Jun,10256,June,16
17-Jun,7433,June,17
18-Jun,11092,June,18
19-Jun,7832,June,19
20-Jun,12838,June,20
21-Jun,12504,June,21
22-Jun,7944,June,22
23-Jun,10151,June,23
24-Jun,8060,June,24
25-Jun,11365,June,25
26-Jun,8410,June,26
27-Jun,11904,June,27
28-Jun,11029,June,28
29-Jun,7715,June,29
30-Jun,10688,June,30
01-Jul,8077,July,1
02-Jul,10377,July,2
03-Jul,7646,July,3
04-Jul,12259,July,4
05-Jul,10635,July,5
06-Jul,7953,July,6
07-Jul,10940,July,7
08-Jul,7472,July,8
09-Jul,10481,July,9
10-Jul,8418,July,10
11-Jul,11751,July,11
12-Jul,11506,July,12
13-Jul,6324,July,13
14-Jul,10841,July,14
15-Jul,8101,July,15
16-Jul,11722,July,16
17-Jul,9067,July,17
18-Jul,13172,July,18
19-Jul,12450,July,19
20-Jul,9215,July,20
21-Jul,12083,July,21
22-Jul,9528,July,22
23-Jul,13459,July,23
24-Jul,11562,July,24
25-Jul,16454,July,25
26-Jul,15880,July,26
27-Jul,11797,July,27
28-Jul,14173,July,28
29-Jul,11350,July,29
30-Jul,15299,July,30
31-Jul,12622,July,31
01-Aug,17514,August,1
02-Aug,15837,August,2
03-Aug,11433,August,3
04-Aug,14232,August,4
05-Aug,11425,August,5
06-Aug,15512,August,6
07-Aug,12702,August,7
08-Aug,18175,August,8
09-Aug,14630,August,9
10-Aug,11500,August,10
11-Aug,13088,August,11
12-Aug,11234,August,12
13-Aug,11836,August,13
14-Aug,12301,August,14
15-Aug,15957,August,15
16-Aug,15140,August,16
17-Aug,10973,August,17
18-Aug,14556,August,18
19-Aug,10819,August,19
20-Aug,15146,August,20
21-Aug,12289,August,21
22-Aug,15756,August,22
23-Aug,14938,August,23
24-Aug,13042,August,24
25-Aug,14577,August,25
26-Aug,13066,August,26
27-Aug,15528,August,27
28-Aug,14260,August,28
29-Aug,16380,August,29
30-Aug,16758,August,30
31-Aug,11279,August,31
01-Sep,14892,September,1
02-Sep,10975,September,2
03-Sep,14411,September,3
04-Sep,11796,September,4
05-Sep,15721,September,5
06-Sep,15027,September,6
07-Sep,10552,September,7
08-Sep,12347,September,8
09-Sep,9823,September,9
10-Sep,12970,September,10
11-Sep,8842,September,11
12-Sep,14072,September,12
13-Sep,10880,September,13
14-Sep,9549,September,14
15-Sep,11518,September,15
16-Sep,8627,September,16
17-Sep,11647,September,17
18-Sep,9710,September,18
19-Sep,12649,September,19
20-Sep,12681,September,20
21-Sep,8641,September,21
22-Sep,10751,September,22
23-Sep,7578,September,23
24-Sep,10871,September,24
25-Sep,8916,September,25
26-Sep,11682,September,26
27-Sep,11012,September,27
28-Sep,7658,September,28
29-Sep,9207,September,29
30-Sep,6866,September,30
01-Oct,9045,October,1
02-Oct,6767,October,2
03-Oct,8911,October,3
04-Oct,8878,October,4
05-Oct,6395,October,5
06-Oct,8390,October,6
07-Oct,6092,October,7
08-Oct,7390,October,8
09-Oct,5801,October,9
10-Oct,8991,October,10
11-Oct,7213,October,11
12-Oct,5703,October,12
13-Oct,5935,October,13
14-Oct,5314,October,14
15-Oct,6700,October,15
16-Oct,5368,October,16
17-Oct,7204,October,17
18-Oct,7208,October,18
19-Oct,5261,October,19
20-Oct,7667,October,20
21-Oct,5517,October,21
22-Oct,7566,October,22
23-Oct,6238,October,23
24-Oct,8684,October,24
25-Oct,8525,October,25
26-Oct,6743,October,26
27-Oct,8211,October,27
28-Oct,6275,October,28
29-Oct,6957,October,29
30-Oct,5706,October,30
31-Oct,7394,October,31
01-Nov,6479,November,1
02-Nov,4397,November,2
03-Nov,5327,November,3
04-Nov,4097,November,4
05-Nov,6956,November,5
06-Nov,4318,November,6
07-Nov,5658,November,7
08-Nov,4895,November,8
09-Nov,3383,November,9
10-Nov,5015,November,10
11-Nov,4469,November,11
12-Nov,4675,November,12
13-Nov,2719,November,13
14-Nov,5307,November,14
