region,year,relative flow percent,Cumulative Growth
North East,2010,,0
North West,2010,,0
Yorkshire and The Humber,2010,,0
East Midlands,2010,,0
West Midlands,2010,,0
East,2010,,0
London,2010,,0
South East,2010,,0
South West,2010,,0
North East,2011,0.20,0.20
North West,2011,0.15,0.15
Yorkshire and The Humber,2011,0.32,0.32
East Midlands,2011,0.40,0.40
West Midlands,2011,0.24,0.24
East,2011,0.56,0.56
London,2011,0.77,0.77
South East,2011,0.44,0.44
South West,2011,0.62,0.62
North East,2012,0.03,0.24
North West,2012,0.08,0.23
Yorkshire and The Humber,2012,0.17,0.49
East Midlands,2012,0.34,0.74
West Midlands,2012,0.17,0.41
East,2012,0.39,0.95
London,2012,0.21,0.98
South East,2012,0.44,0.88
South West,2012,0.56,1.18
North East,2013,0.20,0.43
North West,2013,0.02,0.25
Yorkshire and The Humber,2013,0.11,0.60
East Midlands,2013,0.40,1.14
West Midlands,2013,0.19,0.61
East,2013,0.51,1.46
London,2013,0.30,1.28
South East,2013,0.47,1.35
South West,2013,0.60,1.78
North East,2014,0.18,0.61
North West,2014,0.13,0.38
Yorkshire and The Humber,2014,0.13,0.73
East Midlands,2014,0.55,1.69
West Midlands,2014,0.29,0.90
East,2014,0.69,2.15
London,2014,0.46,1.74
South East,2014,0.61,1.96
South West,2014,0.70,2.47
North East,2015,0.24,0.84
North West,2015,0.38,0.76
Yorkshire and The Humber,2015,0.34,1.07
East Midlands,2015,0.68,2.38
West Midlands,2015,0.46,1.36
East,2015,0.70,2.86
London,2015,0.57,2.31
South East,2015,0.60,2.56
South West,2015,0.83,3.31
North East,2016,0.39,1.24
North West,2016,0.44,1.20
Yorkshire and The Humber,2016,0.38,1.45
East Midlands,2016,0.78,3.16
West Midlands,2016,0.64,2.00
East,2016,0.60,3.46
London,2016,0.24,2.56
South East,2016,0.61,3.17
South West,2016,0.75,4.06
North East,2017,0.31,1.54
North West,2017,0.31,1.51
Yorkshire and The Humber,2017,0.26,1.71
East Midlands,2017,0.83,3.98
West Midlands,2017,0.58,2.59
East,2017,0.39,3.85
London,2017,-0.26,2.29
South East,2017,0.36,3.53
South West,2017,0.75,4.81
North East,2018,0.56,2.10
North West,2018,0.35,1.85
Yorkshire and The Humber,2018,0.41,2.12
East Midlands,2018,0.58,4.57
West Midlands,2018,0.49,3.08
East,2018,0.37,4.22
London,2018,0.11,2.40
South East,2018,0.43,3.96
South West,2018,0.81,5.62
North East,2019,0.48,2.58
North West,2019,0.52,2.37
Yorkshire and The Humber,2019,0.28,2.40
East Midlands,2019,0.56,5.13
West Midlands,2019,0.35,3.42
East,2019,0.38,4.60
London,2019,-0.19,2.21
South East,2019,0.34,4.31
South West,2019,0.48,6.10
North East,2020,0.64,3.22
North West,2020,0.39,2.76
Yorkshire and The Humber,2020,0.41,2.81
East Midlands,2020,0.63,5.76
West Midlands,2020,0.42,3.85
East,2020,0.52,5.12
London,2020,-0.19,2.03
South East,2020,0.35,4.65
South West,2020,0.70,6.80
