Country,year,percent
DEU,1950,16.2
DEU,1951,16.5
DEU,1952,16.8
DEU,1953,17.2
DEU,1954,17.5
DEU,1955,17.7
DEU,1956,18
DEU,1957,18.2
DEU,1958,18.5
DEU,1959,18.8
DEU,1960,19.1
DEU,1961,19.4
DEU,1962,19.8
DEU,1963,20.2
DEU,1964,20.6
DEU,1965,21.1
DEU,1966,21.7
DEU,1967,22.3
DEU,1968,22.9
DEU,1969,23.5
DEU,1970,24.1
DEU,1971,24.6
DEU,1972,25.1
DEU,1973,25.5
DEU,1974,25.9
DEU,1975,26.5
DEU,1976,26.7
DEU,1977,27
DEU,1978,27.3
DEU,1979,27.4
DEU,1980,27.1
DEU,1981,26.5
DEU,1982,25.7
DEU,1983,24.7
DEU,1984,23.9
DEU,1985,23.3
DEU,1986,23
DEU,1987,23.1
DEU,1988,23.2
DEU,1989,23.5
DEU,1990,23.5
DEU,1991,23.8
DEU,1992,24
DEU,1993,24.1
DEU,1994,24.3
DEU,1995,24.5
DEU,1996,24.7
DEU,1997,24.9
DEU,1998,25.2
DEU,1999,25.6
DEU,2000,26.5
DEU,2001,27
DEU,2002,28
DEU,2003,29.1
DEU,2004,30.1
DEU,2005,31.1
DEU,2006,32
DEU,2007,32.7
DEU,2008,33.4
DEU,2009,33.9
DEU,2010,34.4
DEU,2011,34.6
DEU,2012,34.8
DEU,2013,34.9
DEU,2014,35
DEU,2015,34.8
DEU,2017,36.4
DEU,2019,38
DEU,2020,36.5
DEU,2021,39.7
DEU,2022,40.5
JPN,1950,9.9
JPN,1951,10.1
JPN,1952,10.2
JPN,1953,10.2
JPN,1954,10.3
JPN,1955,10.3
JPN,1956,10.4
JPN,1957,10.4
JPN,1958,10.5
JPN,1959,10.5
JPN,1960,10.6
JPN,1961,10.6
JPN,1962,10.7
JPN,1963,10.8
JPN,1964,10.9
JPN,1965,11
JPN,1966,11.1
JPN,1967,11.3
JPN,1968,11.4
JPN,1969,11.5
JPN,1970,11.7
JPN,1971,11.9
JPN,1972,12.1
JPN,1973,12.4
JPN,1974,12.7
JPN,1975,12.7
JPN,1976,13.4
JPN,1977,13.8
JPN,1978,14.2
JPN,1979,14.6
JPN,1980,15
JPN,1981,15.4
JPN,1982,15.7
JPN,1983,16
JPN,1984,16.4
JPN,1985,16.8
JPN,1986,17.2
JPN,1987,17.7
JPN,1988,18.2
JPN,1989,18.8
JPN,1990,19.3
JPN,1991,20
JPN,1992,20.7
JPN,1993,21.4
JPN,1994,22.2
JPN,1995,23
JPN,1996,23.8
JPN,1997,24.7
JPN,1998,25.7
JPN,1999,26.6
JPN,2000,27.3
JPN,2001,28.5
JPN,2002,29.5
JPN,2003,30.4
JPN,2004,31.4
JPN,2005,32.4
JPN,2006,33.6
JPN,2007,34.8
JPN,2008,36.1
JPN,2009,37.4
JPN,2010,38.9
JPN,2011,40.5
