family,child,number
Married couple,no children,"4,861,000"
Married couple,dependent children,"4,335,000"
Married couple,non-dependent children,"1,430,000"
opposite sex cohabiting couple,dependent children,"1,001,000"
opposite sex cohabiting couple,no children/non dependent,1949000
same sex cohabiting couple,dependent children,"5,000"
same sex cohabiting couple,no children/non dependent,"130,000"
civil partner couple,dependent children,"21,000"
civil partner couple,no children/non dependent,"60,000"
lone mother,dependent children,"1,410,000"
lone mother,non-dependent children,"731,000"
lone father,dependent children,"169,000"
lone father,non-dependent children,"198,000"
