year,type,Number of Families
1996,Married Couple,5223
1997,Married Couple,5126
1998,Married Couple,5013
1999,Married Couple,4936
2000,Married Couple,4918
2001,Married Couple,4833
2002,Married Couple,4777
2003,Married Couple,4746
2004,Married Couple,4689
2005,Married Couple,4732
2006,Married Couple,4682
2007,Married Couple,4689
2008,Married Couple,4642
2009,Married Couple,4709
2010,Married Couple,4701
2011,Married Couple,4641
2012,Married Couple,4698
2013,Married Couple,4756
2014,Married Couple,4767
2015,Married Couple,4730
2016,Married Couple,4829
2017,Married Couple,4963
2018,Married Couple,4892
2019,Married Couple,4935
2020,Married Couple,5087
2021,Married Couple,5085
1996,Cohabiting Couple,539
1997,Cohabiting Couple,592
1998,Cohabiting Couple,638
1999,Cohabiting Couple,718
2000,Cohabiting Couple,739
2001,Cohabiting Couple,808
2002,Cohabiting Couple,809
2003,Cohabiting Couple,819
2004,Cohabiting Couple,885
2005,Cohabiting Couple,899
2006,Cohabiting Couple,954
2007,Cohabiting Couple,974
2008,Cohabiting Couple,1040
2009,Cohabiting Couple,1025
2010,Cohabiting Couple,1077
2011,Cohabiting Couple,1107
2012,Cohabiting Couple,1131
2013,Cohabiting Couple,1170
2014,Cohabiting Couple,1163
2015,Cohabiting Couple,1251
2016,Cohabiting Couple,1265
2017,Cohabiting Couple,1248
2018,Cohabiting Couple,1285
2019,Cohabiting Couple,1307
2020,Cohabiting Couple,1242
2021,Cohabiting Couple,1170
1996,Lone Mother,1466
1997,Lone Mother,1463
1998,Lone Mother,1558
1999,Lone Mother,1579
2000,Lone Mother,1550
2001,Lone Mother,1575
2002,Lone Mother,1636
2003,Lone Mother,1626
2004,Lone Mother,1686
2005,Lone Mother,1708
2006,Lone Mother,1701
2007,Lone Mother,1713
2008,Lone Mother,1736
2009,Lone Mother,1803
2010,Lone Mother,1813
2011,Lone Mother,1826
2012,Lone Mother,1877
2013,Lone Mother,1807
2014,Lone Mother,1815
2015,Lone Mother,1771
2016,Lone Mother,1692
2017,Lone Mother,1604
2018,Lone Mother,1645
2019,Lone Mother,1622
2020,Lone Mother,1537
2021,Lone Mother,1663
1996,Lone Father,164
1997,Lone Father,150
1998,Lone Father,161
1999,Lone Father,163
2000,Lone Father,147
2001,Lone Father,170
2002,Lone Father,172
2003,Lone Father,178
2004,Lone Father,183
2005,Lone Father,175
2006,Lone Father,169
2007,Lone Father,167
2008,Lone Father,169
2009,Lone Father,185
2010,Lone Father,188
2011,Lone Father,165
2012,Lone Father,178
2013,Lone Father,168
2014,Lone Father,172
2015,Lone Father,203
2016,Lone Father,181
2017,Lone Father,180
2018,Lone Father,178
2019,Lone Father,172
2020,Lone Father,205
2021,Lone Father,204
