Country,Year,Value
DEU,1960,2.37
DEU,1961,2.44
DEU,1962,2.44
DEU,1963,2.51
DEU,1964,2.53
DEU,1965,2.5
DEU,1966,2.51
DEU,1967,2.45
DEU,1968,2.36
DEU,1969,2.21
DEU,1970,2.03
DEU,1971,1.97
DEU,1972,1.74
DEU,1973,1.56
DEU,1974,1.53
DEU,1975,1.48
DEU,1976,1.51
DEU,1977,1.51
DEU,1978,1.5
DEU,1979,1.5
DEU,1980,1.56
DEU,1981,1.53
DEU,1982,1.51
DEU,1983,1.43
DEU,1984,1.39
DEU,1985,1.37
DEU,1986,1.41
DEU,1987,1.43
DEU,1988,1.46
DEU,1989,1.42
DEU,1990,1.45
DEU,1991,1.33
DEU,1992,1.29
DEU,1993,1.28
DEU,1994,1.24
DEU,1995,1.25
DEU,1996,1.32
DEU,1997,1.37
DEU,1998,1.36
DEU,1999,1.36
DEU,2000,1.38
DEU,2001,1.35
DEU,2002,1.34
DEU,2003,1.34
DEU,2004,1.36
DEU,2005,1.34
DEU,2006,1.33
DEU,2007,1.37
DEU,2008,1.38
DEU,2009,1.36
DEU,2010,1.39
DEU,2011,1.39
DEU,2012,1.41
DEU,2013,1.42
DEU,2014,1.47
DEU,2015,1.5
DEU,2016,1.59
DEU,2017,1.57
DEU,2018,1.57
DEU,2019,1.54
JPN,1960,2
JPN,1961,1.96
JPN,1962,1.98
JPN,1963,2
JPN,1964,2.05
JPN,1965,2.14
JPN,1966,1.58
JPN,1967,2.23
JPN,1968,2.13
JPN,1969,2.13
JPN,1970,2.13
JPN,1971,2.16
JPN,1972,2.14
JPN,1973,2.14
JPN,1974,2.05
JPN,1975,1.91
JPN,1976,1.85
JPN,1977,1.8
JPN,1978,1.79
JPN,1979,1.77
JPN,1980,1.75
JPN,1981,1.74
JPN,1982,1.77
JPN,1983,1.8
JPN,1984,1.81
JPN,1985,1.76
JPN,1986,1.72
JPN,1987,1.69
JPN,1988,1.66
JPN,1989,1.57
JPN,1990,1.54
JPN,1991,1.53
JPN,1992,1.5
JPN,1993,1.46
JPN,1994,1.5
