father age,mother age,births,,,,,,
Under 20,Under 20,"4,403",,,,,,
Under 20,20 to 24      ,"1,069",,,,,,
Under 20,25 to 29      ,131,,,,,,
Under 20,30 to 34      ,42,,,,,,
Under 20,35 to 39      ,10,,,,,,
Under 20,40 to 44      ,2,,,,,,
Under 20,45 and over,0,,,,,,
20 to 24      ,Under 20,"5,460",,,,,,
20 to 24      ,20 to 24      ,"24,499",,,,,,
20 to 24      ,25 to 29      ,"5,272",,,,,,
20 to 24      ,30 to 34      ,"1,439",,,,,,
20 to 24      ,35 to 39      ,371,,,,,,
20 to 24      ,40 to 44      ,61,,,,,,
20 to 24      ,45 and over,4,,,,,,
25 to 29      ,Under 20,"1,125",,,,,,
25 to 29      ,20 to 24      ,"20,964",,,,,,
25 to 29      ,25 to 29      ,"38,904",,,,,,
25 to 29      ,30 to 34      ,"9,845",,,,,,
25 to 29      ,35 to 39      ,"2,273",,,,,,
25 to 29      ,40 to 44      ,343,,,,,,
25 to 29      ,45 and over,11,,,,,,
30 to 34      ,Under 20,388,,,,,,
30 to 34      ,20 to 24      ,"6,354",,,,,,
30 to 34      ,25 to 29      ,"27,389",,,,,,
30 to 34      ,30 to 34      ,"31,545",,,,,,
30 to 34      ,35 to 39      ,"7,605",,,,,,
30 to 34      ,40 to 44      ,"1,032",,,,,,
30 to 34      ,45 and over,43,,,,,,
35 to 39      ,Under 20,95,,,,,,
35 to 39      ,20 to 24      ,"1,864",,,,,,
35 to 39      ,25 to 29      ,"8,187",,,,,,
35 to 39      ,30 to 34      ,"17,826",,,,,,
35 to 39      ,35 to 39      ,"14,476",,,,,,
35 to 39      ,40 to 44      ,"2,284",,,,,,
35 to 39      ,45 and over,103,,,,,,
40 to 44      ,Under 20,35,,,,,,
40 to 44      ,20 to 24      ,594,,,,,,
40 to 44      ,25 to 29      ,"2,366",,,,,,
40 to 44      ,30 to 34      ,"5,695",,,,,,
40 to 44      ,35 to 39      ,"7,997",,,,,,
40 to 44      ,40 to 44      ,"3,399",,,,,,
40 to 44      ,45 and over,168,,,,,,
45 to 49      ,Under 20,11,,,,,,
45 to 49      ,20 to 24      ,221,,,,,,
45 to 49      ,25 to 29      ,835,,,,,,
45 to 49      ,30 to 34      ,"1,807",,,,,,
45 to 49      ,35 to 39      ,"2,790",,,,,,
45 to 49      ,40 to 44      ,"1,654",,,,,,
45 to 49      ,45 and over,224,,,,,,
50 to 54      ,Under 20,5,,,,,,
50 to 54      ,20 to 24      ,95,,,,,,
50 to 54      ,25 to 29      ,376,,,,,,
50 to 54      ,30 to 34      ,712,,,,,,
50 to 54      ,35 to 39      ,927,,,,,,
50 to 54      ,40 to 44      ,564,,,,,,
50 to 54      ,45 and over,105,,,,,,
55 to 59      ,Under 20,2,,,,,,
55 to 59      ,20 to 24      ,42,,,,,,
55 to 59      ,25 to 29      ,133,,,,,,
55 to 59      ,30 to 34      ,229,,,,,,
55 to 59      ,35 to 39      ,309,,,,,,
55 to 59      ,40 to 44      ,203,,,,,,
55 to 59      ,45 and over,57,,,,,,
60 to 64      ,Under 20,1,,,,,,
60 to 64      ,20 to 24      ,8,,,,,,
60 to 64      ,25 to 29      ,31,,,,,,
60 to 64      ,30 to 34      ,62,,,,,,
60 to 64      ,35 to 39      ,99,,,,,,
60 to 64      ,40 to 44      ,51,,,,,,
60 to 64      ,45 and over,12,,,,,,
65 and over,Under 20,0,,,,,,
65 and over,20 to 24      ,4,,,,,,
65 and over,25 to 29      ,6,,,,,,
65 and over,30 to 34      ,15,,,,,,
65 and over,35 to 39      ,30,,,,,,
65 and over,40 to 44      ,22,,,,,,
65 and over,45 and over,3,,,,,,
