Sex,Age,Time,Value,agegroup
Women,0 to 4,2005,1678766,0 
Women,0 to 4,2006,1708966,0 
Women,0 to 4,2007,1756175,0 
Women,0 to 4,2008,1811648,0 
Women,0 to 4,2009,1852511,0 
Women,0 to 4,2010,1889874,0 
Women,0 to 4,2011,1917269,0 
Women,0 to 4,2012,1951113,0 
Women,0 to 4,2013,1958214,0 
Women,0 to 4,2014,1963900,0 
Women,0 to 4,2015,1963363,0 
Women,0 to 4,2016,1956436,0 
Women,0 to 4,2017,1929619,0 
Women,0 to 4,2018,1906304,0 
Women,0 to 4,2019,1877463,0 
Women,0 to 4,2020,1840940,0 
Men,0 to 4,2005,1763159,0 
Men,0 to 4,2006,1793658,0 
Men,0 to 4,2007,1845334,0 
Men,0 to 4,2008,1900343,0 
Men,0 to 4,2009,1940424,0 
Men,0 to 4,2010,1980662,0 
Men,0 to 4,2011,2009612,0 
Men,0 to 4,2012,2045206,0 
Men,0 to 4,2013,2055409,0 
Men,0 to 4,2014,2062370,0 
Men,0 to 4,2015,2063729,0 
Men,0 to 4,2016,2057878,0 
Men,0 to 4,2017,2031122,0 
Men,0 to 4,2018,2007724,0 
Men,0 to 4,2019,1979800,0 
Men,0 to 4,2020,1941390,0 
Women,5 to 9,2005,1762318,5 
Women,5 to 9,2006,1738451,5 
Women,5 to 9,2007,1708248,5 
Women,5 to 9,2008,1689664,5 
Women,5 to 9,2009,1686001,5 
Women,5 to 9,2010,1698460,5 
Women,5 to 9,2011,1726094,5 
Women,5 to 9,2012,1776783,5 
Women,5 to 9,2013,1835805,5 
Women,5 to 9,2014,1883931,5 
Women,5 to 9,2015,1930512,5 
Women,5 to 9,2016,1970578,5 
Women,5 to 9,2017,2008158,5 
Women,5 to 9,2018,2020293,5 
Women,5 to 9,2019,2024280,5 
Women,5 to 9,2020,2021455,5 
Men,5 to 9,2005,1851278,5 
Men,5 to 9,2006,1821977,5 
Men,5 to 9,2007,1789354,5 
Men,5 to 9,2008,1772290,5 
Men,5 to 9,2009,1769443,5 
Men,5 to 9,2010,1778715,5 
Men,5 to 9,2011,1810606,5 
Men,5 to 9,2012,1864272,5 
Men,5 to 9,2013,1925644,5 
Men,5 to 9,2014,1975329,5 
Men,5 to 9,2015,2023934,5 
Men,5 to 9,2016,2066878,5 
Men,5 to 9,2017,2105288,5 
Men,5 to 9,2018,2118231,5 
Men,5 to 9,2019,2125572,5 
Men,5 to 9,2020,2125958,5 
Women,10 to 14,2005,1878873,10
Women,10 to 14,2006,1858015,10
Women,10 to 14,2007,1847016,10
Women,10 to 14,2008,1836047,10
Women,10 to 14,2009,1820262,10
Women,10 to 14,2010,1805986,10
Women,10 to 14,2011,1782170,10
Women,10 to 14,2012,1745033,10
Women,10 to 14,2013,1723528,10
Women,10 to 14,2014,1719002,10
Women,10 to 14,2015,1732709,10
Women,10 to 14,2016,1768443,10
Women,10 to 14,2017,1820157,10
Women,10 to 14,2018,1881634,10
Women,10 to 14,2019,1927434,10
Women,10 to 14,2020,1971599,10
Men,10 to 14,2005,1972043,10
Men,10 to 14,2006,1947915,10
Men,10 to 14,2007,1938741,10
Men,10 to 14,2008,1927150,10
Men,10 to 14,2009,1913615,10
Men,10 to 14,2010,1899488,10
Men,10 to 14,2011,1870452,10
Men,10 to 14,2012,1831313,10
Men,10 to 14,2013,1808614,10
Men,10 to 14,2014,1802992,10
Men,10 to 14,2015,1816542,10
Men,10 to 14,2016,1856619,10
Men,10 to 14,2017,1913229,10
Men,10 to 14,2018,1977260,10
Men,10 to 14,2019,2026432,10
Men,10 to 14,2020,2073515,10
Women,15 to 19,2005,1922743,15
Women,15 to 19,2006,1936959,15
Women,15 to 19,2007,1958120,15
Women,15 to 19,2008,1961403,15
Women,15 to 19,2009,1970217,15
Women,15 to 19,2010,1957712,15
Women,15 to 19,2011,1941439,15
Women,15 to 19,2012,1912815,15
Women,15 to 19,2013,1889901,15
Women,15 to 19,2014,1873012,15
Women,15 to 19,2015,1859604,15
Women,15 to 19,2016,1839363,15
Women,15 to 19,2017,1802601,15
Women,15 to 19,2018,1785012,15
Women,15 to 19,2019,1777755,15
Women,15 to 19,2020,1790412,15
Men,15 to 19,2005,1977443,15
Men,15 to 19,2006,2009877,15
Men,15 to 19,2007,2035434,15
Men,15 to 19,2008,2035055,15
Men,15 to 19,2009,2046691,15
Men,15 to 19,2010,2044039,15
Men,15 to 19,2011,2031554,15
Men,15 to 19,2012,2012888,15
Men,15 to 19,2013,1993307,15
Men,15 to 19,2014,1976668,15
Men,15 to 19,2015,1964269,15
Men,15 to 19,2016,1939564,15
Men,15 to 19,2017,1901634,15
Men,15 to 19,2018,1884238,15
Men,15 to 19,2019,1879213,15
Men,15 to 19,2020,1893268,15
Women,20 to 24,2005,1961833,20
Women,20 to 24,2006,2004333,20
Women,20 to 24,2007,2035942,20
Women,20 to 24,2008,2071595,20
Women,20 to 24,2009,2078905,20
Women,20 to 24,2010,2093717,20
Women,20 to 24,2011,2129429,20
Women,20 to 24,2012,2141092,20
Women,20 to 24,2013,2126884,20
Women,20 to 24,2014,2119554,20
Women,20 to 24,2015,2106960,20
Women,20 to 24,2016,2077320,20
Women,20 to 24,2017,2048772,20
Women,20 to 24,2018,2033510,20
Women,20 to 24,2019,2018009,20
Women,20 to 24,2020,2001126,20
Men,20 to 24,2005,1977220,20
Men,20 to 24,2006,2005726,20
Men,20 to 24,2007,2048879,20
Men,20 to 24,2008,2069525,20
Men,20 to 24,2009,2067564,20
Men,20 to 24,2010,2108941,20
Men,20 to 24,2011,2170034,20
Men,20 to 24,2012,2191838,20
Men,20 to 24,2013,2187307,20
Men,20 to 24,2014,2194519,20
Men,20 to 24,2015,2187723,20
Men,20 to 24,2016,2176431,20
Men,20 to 24,2017,2158462,20
Men,20 to 24,2018,2151065,20
Men,20 to 24,2019,2135071,20
Men,20 to 24,2020,2132032,20
Women,25 to 29,2005,1921824,25
Women,25 to 29,2006,1978489,25
Women,25 to 29,2007,2050219,25
Women,25 to 29,2008,2105680,25
Women,25 to 29,2009,2131449,25
Women,25 to 29,2010,2151362,25
Women,25 to 29,2011,2162708,25
Women,25 to 29,2012,2165890,25
Women,25 to 29,2013,2179009,25
Women,25 to 29,2014,2195210,25
Women,25 to 29,2015,2212031,25
Women,25 to 29,2016,2235805,25
Women,25 to 29,2017,2247520,25
Women,25 to 29,2018,2234473,25
Women,25 to 29,2019,2222149,25
Women,25 to 29,2020,2195821,25
Men,25 to 29,2005,1904987,25
Men,25 to 29,2006,1962891,25
Men,25 to 29,2007,2031411,25
Men,25 to 29,2008,2101420,25
Men,25 to 29,2009,2115359,25
Men,25 to 29,2010,2126406,25
Men,25 to 29,2011,2151533,25
Men,25 to 29,2012,2152237,25
Men,25 to 29,2013,2171702,25
Men,25 to 29,2014,2197213,25
Men,25 to 29,2015,2229203,25
Men,25 to 29,2016,2274843,25
Men,25 to 29,2017,2294468,25
Men,25 to 29,2018,2292702,25
Men,25 to 29,2019,2292100,25
Men,25 to 29,2020,2280809,25
Women,30 to 34,2005,2117739,30
Women,30 to 34,2006,2057668,30
Women,30 to 34,2007,1992406,30
Women,30 to 34,2008,1967993,30
Women,30 to 34,2009,1979120,30
Women,30 to 34,2010,2023390,30
Women,30 to 34,2011,2077523,30
Women,30 to 34,2012,2130687,30
Women,30 to 34,2013,2178027,30
Women,30 to 34,2014,2193136,30
Women,30 to 34,2015,2202433,30
Women,30 to 34,2016,2208899,30
Women,30 to 34,2017,2219032,30
Women,30 to 34,2018,2239270,30
Women,30 to 34,2019,2254790,30
Women,30 to 34,2020,2258464,30
Men,30 to 34,2005,2087836,30
Men,30 to 34,2006,2028806,30
Men,30 to 34,2007,1975250,30
Men,30 to 34,2008,1956039,30
Men,30 to 34,2009,1982691,30
Men,30 to 34,2010,2020733,30
Men,30 to 34,2011,2071337,30
Men,30 to 34,2012,2109196,30
Men,30 to 34,2013,2148975,30
Men,30 to 34,2014,2163244,30
Men,30 to 34,2015,2179090,30
Men,30 to 34,2016,2199264,30
Men,30 to 34,2017,2203252,30
Men,30 to 34,2018,2224087,30
Men,30 to 34,2019,2242342,30
