date,value,month,day
01/01,330,January,1
02/01,2638,January,2
03/01,2761,January,3
04/01,2266,January,4
05/01,2623,January,5
06/01,1946,January,6
07/01,2589,January,7
08/01,2004,January,8
09/01,2694,January,9
10/01,2499,January,10
11/01,1794,January,11
12/01,2321,January,12
13/01,1231,January,13
14/01,2312,January,14
15/01,1887,January,15
16/01,2685,January,16
17/01,2220,January,17
18/01,1836,January,18
19/01,2359,January,19
20/01,1987,January,20
21/01,2445,January,21
22/01,1812,January,22
23/01,2583,January,23
24/01,2482,January,24
25/01,2230,January,25
26/01,2858,January,26
27/01,2104,January,27
28/01,2725,January,28
29/01,2168,January,29
30/01,3003,January,30
31/01,2780,January,31
01/02,2192,February,1
02/02,2871,February,2
03/02,1904,February,3
04/02,2645,February,4
05/02,2183,February,5
06/02,3282,February,6
07/02,3007,February,7
08/02,2232,February,8
09/02,2975,February,9
10/02,2485,February,10
11/02,3342,February,11
12/02,2929,February,12
13/02,3658,February,13
14/02,10726,February,14
15/02,3565,February,15
16/02,4442,February,16
17/02,3239,February,17
18/02,3995,February,18
19/02,3415,February,19
20/02,4627,February,20
21/02,4188,February,21
22/02,3288,February,22
23/02,3835,February,23
24/02,2994,February,24
25/02,3746,February,25
26/02,2934,February,26
27/02,3964,February,27
28/02,4105,February,28
29/02,1880,February,29
01/03,4548,March,1
02/03,2850,March,2
03/03,3661,March,3
04/03,2871,March,4
05/03,3823,March,5
06/03,3343,March,6
07/03,4395,March,7
08/03,3916,March,8
09/03,2928,March,9
10/03,4003,March,10
11/03,2868,March,11
12/03,4161,March,12
13/03,2456,March,13
14/03,4919,March,14
15/03,4553,March,15
16/03,3710,March,16
17/03,4698,March,17
18/03,3565,March,18
19/03,4669,March,19
20/03,4581,March,20
21/03,5266,March,21
22/03,5510,March,22
23/03,4645,March,23
24/03,5841,March,24
25/03,4459,March,25
26/03,6058,March,26
27/03,5366,March,27
28/03,7314,March,28
29/03,6898,March,29
30/03,5332,March,30
31/03,7117,March,31
01/04,4643,April,1
02/04,6442,April,2
03/04,4984,April,3
04/04,8196,April,4
05/04,8327,April,5
06/04,5830,April,6
07/04,7151,April,7
08/04,5923,April,8
09/04,7043,April,9
10/04,6008,April,10
11/04,7666,April,11
12/04,8085,April,12
13/04,5089,April,13
14/04,6908,April,14
15/04,4973,April,15
16/04,7177,April,16
17/04,6041,April,17
18/04,7029,April,18
19/04,6459,April,19
20/04,6150,April,20
21/04,7302,April,21
22/04,4428,April,22
23/04,6470,April,23
24/04,5826,April,24
25/04,7768,April,25
26/04,7785,April,26
27/04,6004,April,27
28/04,7737,April,28
29/04,5445,April,29
30/04,8444,April,30
01/05,8435,May,1
02/05,9309,May,2
03/05,9694,May,3
04/05,7894,May,4
05/05,8939,May,5
06/05,7032,May,6
07/05,7633,May,7
08/05,5981,May,8
09/05,8103,May,9
10/05,8457,May,10
11/05,5909,May,11
12/05,8297,May,12
13/05,4347,May,13
14/05,8493,May,14
15/05,6896,May,15
16/05,9029,May,16
17/05,8463,May,17
18/05,7089,May,18
19/05,8713,May,19
20/05,7094,May,20
21/05,9794,May,21
22/05,7947,May,22
23/05,11434,May,23
24/05,12561,May,24
25/05,10196,May,25
26/05,12307,May,26
27/05,9861,May,27
28/05,13513,May,28
29/05,11529,May,29
30/05,13106,May,30
31/05,11669,May,31
01/06,10044,June,1
02/06,11708,June,2
03/06,9458,June,3
04/06,11891,June,4
05/06,8264,June,5
06/06,12616,June,6
07/06,10937,June,7
08/06,7525,June,8
09/06,9421,June,9
10/06,7424,June,10
11/06,10232,June,11
12/06,7966,June,12
13/06,8409,June,13
14/06,10886,June,14
15/06,7259,June,15
16/06,10256,June,16
17/06,7433,June,17
18/06,11092,June,18
19/06,7832,June,19
20/06,12838,June,20
21/06,12504,June,21
22/06,7944,June,22
23/06,10151,June,23
24/06,8060,June,24
25/06,11365,June,25
26/06,8410,June,26
27/06,11904,June,27
28/06,11029,June,28
29/06,7715,June,29
30/06,10688,June,30
01/07,8077,July,1
02/07,10377,July,2
03/07,7646,July,3
04/07,12259,July,4
05/07,10635,July,5
06/07,7953,July,6
07/07,10940,July,7
08/07,7472,July,8
09/07,10481,July,9
10/07,8418,July,10
11/07,11751,July,11
12/07,11506,July,12
13/07,6324,July,13
14/07,10841,July,14
15/07,8101,July,15
16/07,11722,July,16
17/07,9067,July,17
18/07,13172,July,18
19/07,12450,July,19
20/07,9215,July,20
21/07,12083,July,21
22/07,9528,July,22
23/07,13459,July,23
24/07,11562,July,24
25/07,16454,July,25
26/07,15880,July,26
27/07,11797,July,27
28/07,14173,July,28
29/07,11350,July,29
30/07,15299,July,30
31/07,12622,July,31
01/08,17514,August,1
02/08,15837,August,2
03/08,11433,August,3
04/08,14232,August,4
05/08,11425,August,5
06/08,15512,August,6
07/08,12702,August,7
08/08,18175,August,8
09/08,14630,August,9
10/08,11500,August,10
11/08,13088,August,11
12/08,11234,August,12
13/08,11836,August,13
14/08,12301,August,14
15/08,15957,August,15
16/08,15140,August,16
17/08,10973,August,17
18/08,14556,August,18
19/08,10819,August,19
20/08,15146,August,20
21/08,12289,August,21
22/08,15756,August,22
23/08,14938,August,23
24/08,13042,August,24
25/08,14577,August,25
26/08,13066,August,26
27/08,15528,August,27
28/08,14260,August,28
29/08,16380,August,29
30/08,16758,August,30
31/08,11279,August,31
01/09,14892,September,1
02/09,10975,September,2
03/09,14411,September,3
04/09,11796,September,4
05/09,15721,September,5
06/09,15027,September,6
07/09,10552,September,7
08/09,12347,September,8
09/09,9823,September,9
10/09,12970,September,10
11/09,8842,September,11
12/09,14072,September,12
13/09,10880,September,13
14/09,9549,September,14
15/09,11518,September,15
16/09,8627,September,16
17/09,11647,September,17
18/09,9710,September,18
19/09,12649,September,19
20/09,12681,September,20
21/09,8641,September,21
22/09,10751,September,22
23/09,7578,September,23
24/09,10871,September,24
25/09,8916,September,25
26/09,11682,September,26
27/09,11012,September,27
28/09,7658,September,28
29/09,9207,September,29
30/09,6866,September,30
01/10,9045,October,1
02/10,6767,October,2
03/10,8911,October,3
04/10,8878,October,4
05/10,6395,October,5
06/10,8390,October,6
07/10,6092,October,7
08/10,7390,October,8
09/10,5801,October,9
10/10,8991,October,10
11/10,7213,October,11
12/10,5703,October,12
13/10,5935,October,13
14/10,5314,October,14
15/10,6700,October,15
16/10,5368,October,16
17/10,7204,October,17
18/10,7208,October,18
19/10,5261,October,19
20/10,7667,October,20
21/10,5517,October,21
22/10,7566,October,22
23/10,6238,October,23
24/10,8684,October,24
25/10,8525,October,25
26/10,6743,October,26
27/10,8211,October,27
28/10,6275,October,28
29/10,6957,October,29
30/10,5706,October,30
31/10,7394,October,31
01/11,6479,November,1
02/11,4397,November,2
03/11,5327,November,3
04/11,4097,November,4
05/11,6956,November,5
06/11,4318,November,6
07/11,5658,November,7
08/11,4895,November,8
09/11,3383,November,9
10/11,5015,November,10
11/11,4469,November,11
12/11,4675,November,12
13/11,2719,November,13
14/11,5307,November,14
15/11,4682,November,15
16/11,3396,November,16
17/11,4484,November,17
18/11,3517,November,18
19/11,4517,November,19
20/11,3966,November,20
21/11,5022,November,21
22/11,4795,November,22
23/11,3423,November,23
24/11,4616,November,24
25/11,3686,November,25
26/11,4747,November,26
27/11,3878,November,27
28/11,5391,November,28
29/11,4950,November,29
30/11,3782,November,30
01/12,5170,December,1
02/12,3371,December,2
03/12,4531,December,3
04/12,3971,December,4
05/12,5493,December,5
06/12,5361,December,6
07/12,3633,December,7
08/12,4198,December,8
09/12,3086,December,9
10/12,4585,December,10
11/12,3742,December,11
12/12,6517,December,12
13/12,3896,December,13
14/12,3595,December,14
15/12,4331,December,15
16/12,3662,December,16
17/12,5032,December,17
18/12,4740,December,18
19/12,6507,December,19
20/12,6935,December,20
21/12,5966,December,21
22/12,6584,December,22
23/12,5525,December,23
24/12,4429,December,24
25/12,48,December,25
26/12,289,December,26
27/12,5279,December,27
28/12,7009,December,28
29/12,8128,December,29
30/12,5684,December,30
31/12,7114,December,31
