Sex,Age,Time,Value
Women,0 to 4,2005,1678766
Women,0 to 4,2006,1708966
Women,0 to 4,2007,1756175
Women,0 to 4,2008,1811648
Women,0 to 4,2009,1852511
Women,0 to 4,2010,1889874
Women,0 to 4,2011,1917269
Women,0 to 4,2012,1951113
Women,0 to 4,2013,1958214
Women,0 to 4,2014,1963900
Women,0 to 4,2015,1963363
Women,0 to 4,2016,1956436
Women,0 to 4,2017,1929619
Women,0 to 4,2018,1906304
Women,0 to 4,2019,1877463
Women,0 to 4,2020,1840940
Men,0 to 4,2005,1763159
Men,0 to 4,2006,1793658
Men,0 to 4,2007,1845334
Men,0 to 4,2008,1900343
Men,0 to 4,2009,1940424
Men,0 to 4,2010,1980662
Men,0 to 4,2011,2009612
Men,0 to 4,2012,2045206
Men,0 to 4,2013,2055409
Men,0 to 4,2014,2062370
Men,0 to 4,2015,2063729
Men,0 to 4,2016,2057878
Men,0 to 4,2017,2031122
Men,0 to 4,2018,2007724
Men,0 to 4,2019,1979800
Men,0 to 4,2020,1941390
Women,5 to 9,2005,1762318
Women,5 to 9,2006,1738451
Women,5 to 9,2007,1708248
Women,5 to 9,2008,1689664
Women,5 to 9,2009,1686001
Women,5 to 9,2010,1698460
Women,5 to 9,2011,1726094
Women,5 to 9,2012,1776783
Women,5 to 9,2013,1835805
Women,5 to 9,2014,1883931
Women,5 to 9,2015,1930512
Women,5 to 9,2016,1970578
Women,5 to 9,2017,2008158
Women,5 to 9,2018,2020293
Women,5 to 9,2019,2024280
Women,5 to 9,2020,2021455
Men,5 to 9,2005,1851278
Men,5 to 9,2006,1821977
Men,5 to 9,2007,1789354
Men,5 to 9,2008,1772290
Men,5 to 9,2009,1769443
Men,5 to 9,2010,1778715
Men,5 to 9,2011,1810606
Men,5 to 9,2012,1864272
Men,5 to 9,2013,1925644
Men,5 to 9,2014,1975329
Men,5 to 9,2015,2023934
Men,5 to 9,2016,2066878
Men,5 to 9,2017,2105288
Men,5 to 9,2018,2118231
Men,5 to 9,2019,2125572
Men,5 to 9,2020,2125958
Women,10 to 14,2005,1878873
Women,10 to 14,2006,1858015
Women,10 to 14,2007,1847016
Women,10 to 14,2008,1836047
Women,10 to 14,2009,1820262
Women,10 to 14,2010,1805986
Women,10 to 14,2011,1782170
Women,10 to 14,2012,1745033
Women,10 to 14,2013,1723528
Women,10 to 14,2014,1719002
Women,10 to 14,2015,1732709
Women,10 to 14,2016,1768443
Women,10 to 14,2017,1820157
Women,10 to 14,2018,1881634
Women,10 to 14,2019,1927434
Women,10 to 14,2020,1971599
Men,10 to 14,2005,1972043
Men,10 to 14,2006,1947915
Men,10 to 14,2007,1938741
Men,10 to 14,2008,1927150
Men,10 to 14,2009,1913615
Men,10 to 14,2010,1899488
Men,10 to 14,2011,1870452
Men,10 to 14,2012,1831313
Men,10 to 14,2013,1808614
Men,10 to 14,2014,1802992
Men,10 to 14,2015,1816542
Men,10 to 14,2016,1856619
Men,10 to 14,2017,1913229
Men,10 to 14,2018,1977260
Men,10 to 14,2019,2026432
Men,10 to 14,2020,2073515
Women,15 to 19,2005,1922743
Women,15 to 19,2006,1936959
Women,15 to 19,2007,1958120
Women,15 to 19,2008,1961403
Women,15 to 19,2009,1970217
Women,15 to 19,2010,1957712
Women,15 to 19,2011,1941439
Women,15 to 19,2012,1912815
Women,15 to 19,2013,1889901
Women,15 to 19,2014,1873012
Women,15 to 19,2015,1859604
Women,15 to 19,2016,1839363
Women,15 to 19,2017,1802601
Women,15 to 19,2018,1785012
Women,15 to 19,2019,1777755
Women,15 to 19,2020,1790412
Men,15 to 19,2005,1977443
Men,15 to 19,2006,2009877
Men,15 to 19,2007,2035434
Men,15 to 19,2008,2035055
Men,15 to 19,2009,2046691
Men,15 to 19,2010,2044039
Men,15 to 19,2011,2031554
Men,15 to 19,2012,2012888
Men,15 to 19,2013,1993307
Men,15 to 19,2014,1976668
Men,15 to 19,2015,1964269
Men,15 to 19,2016,1939564
Men,15 to 19,2017,1901634
Men,15 to 19,2018,1884238
Men,15 to 19,2019,1879213
Men,15 to 19,2020,1893268
Women,20 to 24,2005,1961833
Women,20 to 24,2006,2004333
Women,20 to 24,2007,2035942
Women,20 to 24,2008,2071595
Women,20 to 24,2009,2078905
Women,20 to 24,2010,2093717
Women,20 to 24,2011,2129429
Women,20 to 24,2012,2141092
Women,20 to 24,2013,2126884
Women,20 to 24,2014,2119554
Women,20 to 24,2015,2106960
Women,20 to 24,2016,2077320
Women,20 to 24,2017,2048772
Women,20 to 24,2018,2033510
Women,20 to 24,2019,2018009
Women,20 to 24,2020,2001126
Men,20 to 24,2005,1977220
Men,20 to 24,2006,2005726
Men,20 to 24,2007,2048879
Men,20 to 24,2008,2069525
Men,20 to 24,2009,2067564
Men,20 to 24,2010,2108941
Men,20 to 24,2011,2170034
Men,20 to 24,2012,2191838
Men,20 to 24,2013,2187307
Men,20 to 24,2014,2194519
Men,20 to 24,2015,2187723
Men,20 to 24,2016,2176431
Men,20 to 24,2017,2158462
Men,20 to 24,2018,2151065
Men,20 to 24,2019,2135071
Men,20 to 24,2020,2132032
Women,25 to 29,2005,1921824
Women,25 to 29,2006,1978489
Women,25 to 29,2007,2050219
Women,25 to 29,2008,2105680
Women,25 to 29,2009,2131449
Women,25 to 29,2010,2151362
Women,25 to 29,2011,2162708
Women,25 to 29,2012,2165890
Women,25 to 29,2013,2179009
Women,25 to 29,2014,2195210
Women,25 to 29,2015,2212031
Women,25 to 29,2016,2235805
Women,25 to 29,2017,2247520
Women,25 to 29,2018,2234473
Women,25 to 29,2019,2222149
Women,25 to 29,2020,2195821
Men,25 to 29,2005,1904987
Men,25 to 29,2006,1962891
Men,25 to 29,2007,2031411
Men,25 to 29,2008,2101420
Men,25 to 29,2009,2115359
Men,25 to 29,2010,2126406
Men,25 to 29,2011,2151533
Men,25 to 29,2012,2152237
Men,25 to 29,2013,2171702
Men,25 to 29,2014,2197213
Men,25 to 29,2015,2229203
Men,25 to 29,2016,2274843
Men,25 to 29,2017,2294468
Men,25 to 29,2018,2292702
Men,25 to 29,2019,2292100
Men,25 to 29,2020,2280809
Women,30 to 34,2005,2117739
Women,30 to 34,2006,2057668
Women,30 to 34,2007,1992406
Women,30 to 34,2008,1967993
Women,30 to 34,2009,1979120
Women,30 to 34,2010,2023390
Women,30 to 34,2011,2077523
Women,30 to 34,2012,2130687
Women,30 to 34,2013,2178027
Women,30 to 34,2014,2193136
Women,30 to 34,2015,2202433
Women,30 to 34,2016,2208899
Women,30 to 34,2017,2219032
Women,30 to 34,2018,2239270
Women,30 to 34,2019,2254790
Women,30 to 34,2020,2258464
Men,30 to 34,2005,2087836
Men,30 to 34,2006,2028806
