Country,Sector,Value,trueValue,Population,tonnesPerCapita
Austria,Waste,1259.588,1259588,8877637,0.141883251
Austria,Industry,16383.017,16383017,8877637,1.845425421
Austria,Energy,55047.975,55047975,8877637,6.200746325
Austria,Agriculture,7151.672,7151672,8877637,0.805582837
Belarus,Waste,5872.827,5872827,9419758,0.623458373
Belarus,Industry,5805.359,5805359,9419758,0.616295981
Belarus,Energy,56722.283,56722283,9419758,6.021628475
Belarus,Agriculture,21715.227,21715227,9419758,2.305285019
Belgium,Industry,20178.212,20178212,11462023,1.760440718
Belgium,Waste,1327.698,1327698,11462023,0.115834526
Belgium,Agriculture,9369.719,9369719,11462023,0.817457704
Belgium,Energy,85775.86,85775860,11462023,7.4834835
Bulgaria,Waste,3118.095,3118095,6975760,0.446990005
Bulgaria,Industry,6359.874,6359874,6975760,0.911710552
Bulgaria,Energy,40228.061,40228061,6975760,5.766835585
Bulgaria,Agriculture,6249.247,6249247,6975760,0.895851778
Croatia,Other,0,0,4065253,0
Croatia,Energy,16417.677,16417677,4065253,4.038537577
Croatia,Agriculture,2698.1,2698100,4065253,0.66369793
Croatia,Waste,1754.176,1754176,4065253,0.431504755
Croatia,Industry,2735.068,2735068,4065253,0.672791583
Czech Republic,Industry,15522.916,15522916,10669324,1.45491092
Czech Republic,Waste,5319.117,5319117,10669324,0.498543019
Czech Republic,Agriculture,8198.661,8198661,10669324,0.768433033
Czech Republic,Energy,93597.812,93597812,10669324,8.772609399
Denmark,Agriculture,10933.691,10933691,5814461,1.880430705
Denmark,Energy,31644.962,31644962,5814461,5.442458381
Denmark,Industry,1970.98,1970980,5814461,0.33897897
Denmark,Waste,1262.546,1262546,5814461,0.217138958
Estonia,Industry,618.419,618419,1326855,0.46607881
Estonia,Waste,306.109,306109,1326855,0.230702677
Estonia,Agriculture,1496.867,1496867,1326855,1.128131559
Estonia,Energy,12277.722,12277722,1326855,9.253250732
Finland,Agriculture,6620.572,6620572,5521605,1.199030354
Finland,Energy,39095.825,39095825,5521605,7.080518255
Finland,Industry,5514.604,5514604,5521605,0.998732072
Finland,Waste,1790.245,1790245,5521605,0.324225474
France,Agriculture,73460.199,73460199,67215667,1.092902924
France,Energy,303337.073,303337073,67215667,4.512892403
France,Waste,18445.446,18445446,67215667,0.274421825
France,Industry,47741.949,47741949,67215667,0.710280075
Germany,Waste,9242.569,9242569,83092958,0.111231676
Germany,Industry,61355.875,61355875,83092958,0.738400419
Germany,Energy,677361.175,677361175,83092958,8.151848139
Germany,Agriculture,61838.918,61838918,83092958,0.744213703
Greece,Waste,4839.579,4839579,10721584,0.451386568
Greece,Industry,11688.042,11688042,10721584,1.090141345
Greece,Energy,61228.321,61228321,10721584,5.71075328
Greece,Agriculture,7875.001,7875001,10721584,0.734499772
Hungary,Energy,46197.951,46197951,9771142,4.727999143
Hungary,Agriculture,7132.741,7132741,9771142,0.729980283
Hungary,Waste,3436.669,3436669,9771142,0.351716207
Hungary,Industry,7665.808,7665808,9771142,0.784535523
Iceland,Agriculture,618.85,618850,360558,1.716367408
Iceland,Energy,1854.914,1854914,360558,5.144564813
Iceland,Industry,2024.37,2024370,360558,5.614547451
Iceland,Waste,224.215,224215,360558,0.621855568
Ireland,Industry,3184.031,3184031,4921496,0.646964053
Ireland,Waste,904.85,904850,4921496,0.183856697
Ireland,Energy,35209.063,35209063,4921496,7.154138295
Ireland,Agriculture,20479.696,20479696,4921496,4.161274539
Italy,Energy,336642.205,336642205,59729077,5.636152807
Italy,Agriculture,29517.315,29517315,59729077,0.494186692
Italy,Industry,33937.082,33937082,59729077,0.5681836
Italy,Waste,18183.994,18183994,59729077,0.304441236
Latvia,Waste,580.558,580558,1913826,0.303349416
Latvia,Industry,890.872,890872,1913826,0.465492683
Latvia,Energy,7458.337,7458337,1913826,3.897082075
Latvia,Agriculture,2202.368,2202368,1913826,1.150767102
Lithuania,Energy,11888.78,11888780,2794135,4.254905364
Lithuania,Agriculture,4245.498,4245498,2794135,1.519431953
Lithuania,Industry,3410.128,3410128,2794135,1.220459283
Lithuania,Waste,823.442,823442,2794135,0.294703728
Luxembourg,Waste,78.141,78141,620003,0.126033261
Luxembourg,Industry,675.069,675069,620003,1.088815699
Luxembourg,Energy,9277.237,9277237,620003,14.96321308
Luxembourg,Agriculture,712.35,712350,620003,1.148946053
Netherlands,Industry,9794.597,9794597,17334876,0.565022617
Netherlands,Waste,2885.885,2885885,17334876,0.166478549
Netherlands,Agriculture,17650.731,17650731,17334876,1.018220782
Netherlands,Energy,149977.879,149977879,17334876,8.651799932
Norway,Agriculture,4442.029,4442029,5347893,0.830612916
Norway,Energy,35556.324,35556324,5347893,6.648660323
Norway,Industry,9271.451,9271451,5347893,1.733664267
Norway,Waste,1064.176,1064176,5347893,0.19898977
Poland,Agriculture,32735.409,32735409,38386476,0.85278495
Poland,Energy,321887.571,321887571,38386476,8.385442076
Poland,Industry,24129.155,24129155,38386476,0.628584791
Poland,Waste,11992.533,11992533,38386476,0.312415576
Portugal,Waste,4554.576,4554576,10286263,0.442782379
Portugal,Industry,7653.808,7653808,10286263,0.744080528
Portugal,Agriculture,6869.765,6869765,10286263,0.667858191
Portugal,Energy,44391.827,44391827,10286263,4.315641842
Romania,Agriculture,18830.49,18830490,19375835,0.971854374
Romania,Waste,5953.269,5953269,19375835,0.307252255
Romania,Industry,13113.975,13113975,19375835,0.676821154
Romania,Energy,73869.323,73869323,19375835,3.812445915
Russia,Waste,100153.224,100153224,146764661,0.682406945
Russia,Industry,237403.724,237403724,146764661,1.617580979
Russia,Energy,1667701.142,1667701142,146764661,11.36309743
Russia,Agriculture,114174.324,114174324,146764661,0.777941524
Slovak Republic,Agriculture,2774.769,2774769,5454147,0.508744814
Slovak Republic,Energy,26840.863,26840863,5454147,4.921184376
Slovak Republic,Industry,8689.12,8689120,5454147,1.593121711
Slovak Republic,Waste,1643.58,1643580,5454147,0.301345013
Slovenia,Energy,13651.025,13651025,2089310,6.533747984
Slovenia,Agriculture,1718.382,1718382,2089310,0.822463876
Slovenia,Waste,435.081,435081,2089310,0.208241477
Slovenia,Industry,1260.963,1260963,2089310,0.603530831
Spain,Agriculture,37794.461,37794461,47105358,0.802338897
Spain,Energy,236737.814,236737814,47105358,5.025708838
Spain,Industry,26109.644,26109644,47105358,0.554281829
Spain,Waste,13886.593,13886593,47105358,0.294798587
Sweden,Industry,7949.204,7949204,10278888,0.773352526
Sweden,Waste,1094.382,1094382,10278888,0.10646891
Sweden,Agriculture,6948.119,6948119,10278888,0.675960182
Sweden,Energy,34928.16,34928160,10278888,3.398048505
Switzerland,Industry,4387.215,4387215,8575280,0.511611866
Switzerland,Waste,755.615,755615,8575280,0.08811549
