Country,Sector,Value
Luxembourg,Waste,78.141
Portugal,Waste,4554.576
Estonia,Industry,618.419
Czech Republic,Industry,15522.916
Hungary,Energy,46197.951
Germany,Waste,9242.569
Russia,Waste,100153.224
Austria,Waste,1259.588
Sweden,Industry,7949.204
Iceland,Agriculture,618.85
Belgium,Industry,20178.212
Poland,Agriculture,32735.409
Ireland,Industry,3184.031
Portugal,Industry,7653.808
Luxembourg,Industry,675.069
Hungary,Agriculture,7132.741
Iceland,Energy,1854.914
Russia,Industry,237403.724
France,Agriculture,73460.199
Germany,Industry,61355.875
Austria,Industry,16383.017
France,Energy,303337.073
Poland,Energy,321887.571
Sweden,Waste,1094.382
Czech Republic,Waste,5319.117
Ireland,Waste,904.85
Belgium,Waste,1327.698
Estonia,Waste,306.109
Lithuania,Energy,11888.78
Iceland,Industry,2024.37
United Kingdom,Energy,363582.934
France,Waste,18445.446
France,Industry,47741.949
Switzerland,Industry,4387.215
Finland,Agriculture,6620.572
Norway,Agriculture,4442.029
Sweden,Agriculture,6948.119
Spain,Agriculture,37794.461
Slovenia,Energy,13651.025
Belgium,Agriculture,9369.719
Latvia,Waste,580.558
Poland,Industry,24129.155
Estonia,Agriculture,1496.867
United Kingdom,Agriculture,42133.765
Lithuania,Agriculture,4245.498
Norway,Energy,35556.324
Switzerland,Waste,755.615
Finland,Energy,39095.825
Iceland,Waste,224.215
Sweden,Energy,34928.16
Latvia,Industry,890.872
Spain,Energy,236737.814
Italy,Energy,336642.205
Slovenia,Agriculture,1718.382
Greece,Waste,4839.579
Luxembourg,Energy,9277.237
Russia,Energy,1667701.142
United Kingdom,Waste,19295.675
Netherlands,Industry,9794.597
Italy,Agriculture,29517.315
Switzerland,Agriculture,5864.249
Turkey,Energy,364369.801
Finland,Industry,5514.604
Austria,Energy,55047.975
Norway,Industry,9271.451
Denmark,Agriculture,10933.691
Spain,Industry,26109.644
Slovak Republic,Agriculture,2774.769
Slovenia,Waste,435.081
Denmark,Energy,31644.962
Turkey,Agriculture,68023.704
Netherlands,Waste,2885.885
Greece,Industry,11688.042
Lithuania,Industry,3410.128
United Kingdom,Industry,28089.084
Austria,Agriculture,7151.672
Finland,Waste,1790.245
Switzerland,Energy,35088.21
Spain,Waste,13886.593
Ireland,Energy,35209.063
Poland,Waste,11992.533
Belgium,Energy,85775.86
Estonia,Energy,12277.722
Slovak Republic,Energy,26840.863
Slovenia,Industry,1260.963
Latvia,Energy,7458.337
Czech Republic,Agriculture,8198.661
Denmark,Industry,1970.98
Hungary,Waste,3436.669
Greece,Energy,61228.321
Turkey,Waste,17247.634
Netherlands,Agriculture,17650.731
Switzerland,Other,12.898
Lithuania,Waste,823.442
Germany,Energy,677361.175
Ireland,Agriculture,20479.696
Portugal,Agriculture,6869.765
Italy,Industry,33937.082
Czech Republic,Energy,93597.812
Slovak Republic,Industry,8689.12
Luxembourg,Agriculture,712.35
Greece,Agriculture,7875.001
Hungary,Industry,7665.808
Germany,Agriculture,61838.918
Turkey,Industry,56439.279
Russia,Agriculture,114174.324
Netherlands,Energy,149977.879
Italy,Waste,18183.994
Denmark,Waste,1262.546
Norway,Waste,1064.176
Latvia,Agriculture,2202.368
Portugal,Energy,44391.827
Slovak Republic,Waste,1643.58
Croatia,Other,0
Belarus,Waste,5872.827
Belarus,Industry,5805.359
Romania,Agriculture,18830.49
Bulgaria,Waste,3118.095
Ukraine,Energy,219173.09
Croatia,Energy,16417.677
Romania,Waste,5953.269
Ukraine,Agriculture,42477.207
Croatia,Agriculture,2698.1
Romania,Industry,13113.975
Belarus,Energy,56722.283
Bulgaria,Industry,6359.874
Croatia,Waste,1754.176
Croatia,Industry,2735.068
Romania,Energy,73869.323
Bulgaria,Energy,40228.061
Bulgaria,Agriculture,6249.247
Ukraine,Industry,58238.707
Belarus,Agriculture,21715.227
Ukraine,Waste,12225.018
