Country,Year,Value
Belarus,2002,97926
Belarus,2003,109476
Belarus,2004,118689
Belarus,2005,127261
Belarus,2006,128402
Belarus,2007,130802
Belarus,2008,130739
Belarus,2009,121122
Belarus,2010,128100
Belarus,2011,134243
Belarus,2012,131650
Belarus,2013,130725
Belarus,2014,131337
Belarus,2015,125881
Belarus,2016,125712
Bulgaria,2002,14288
Bulgaria,2003,15838
Bulgaria,2004,18772
Bulgaria,2005,21418
Bulgaria,2006,20947
Bulgaria,2007,21996
Bulgaria,2008,22370
Bulgaria,2009,23116
Bulgaria,2010,24746
Bulgaria,2011,26406
Bulgaria,2012,29265
Bulgaria,2013,32312
Bulgaria,2014,32915
Bulgaria,2015,37742
Bulgaria,2016,40801
Croatia,2002,12014
Croatia,2003,13166
Croatia,2004,14060
Croatia,2005,14971
Croatia,2006,16050
Croatia,2007,16893
Croatia,2008,16874
Croatia,2009,14594
Croatia,2010,14042
Croatia,2011,13534
Croatia,2012,12969
Croatia,2013,13475
Croatia,2014,13663
Croatia,2015,15242
Croatia,2016,16254
Czech Republic,2002,62662.84172
Czech Republic,2003,64301.11913
Czech Republic,2004,63051.32175
Czech Republic,2005,60634.20627
Czech Republic,2006,68482.27427
Czech Republic,2007,66560.10575
Czech Republic,2008,68657.62914
Czech Republic,2009,59936.4576
Czech Republic,2010,67837.41573
Czech Republic,2011,71142.26326
Czech Republic,2012,67439.49271
Czech Republic,2013,70816.11441
Czech Republic,2014,70755.6201
Czech Republic,2015,76030.79186
Czech Republic,2016,67557.2781
Denmark,2002,18066
Denmark,2003,18151
Denmark,2004,17940
Denmark,2005,18150
Denmark,2006,18251
Denmark,2007,18203
Denmark,2008,16790
Denmark,2009,15593
Denmark,2010,16360
Denmark,2011,17904
Denmark,2012,17648
Denmark,2013,17409
Denmark,2014,17811.762
Denmark,2015,17185.434
Denmark,2016,17544.238
Finland,2002,41742
Finland,2003,41081
Finland,2004,42514
Finland,2005,41636
Finland,2006,40867
Finland,2007,40353
Finland,2008,41892
Finland,2009,36590
Finland,2010,40163
Finland,2011,36402
Finland,2012,34857
Finland,2013,34020
Finland,2014,33133
Finland,2015,33084
Finland,2016,36411
France,2002,266466
France,2003,265021
France,2004,270322
France,2005,261526
France,2006,270160
France,2007,278324
France,2008,264373
France,2009,225085
France,2010,230041
France,2011,237266
France,2012,221328
France,2013,216978
France,2014,210203
France,2015,206032.0569
France,2016,205733.3
Germany,2002,440861
Germany,2003,444320
Germany,2004,470056
Germany,2005,486372
Germany,2006,516835
Germany,2007,538594
Germany,2008,536933
Germany,2009,474856
Germany,2010,498951
Germany,2011,507815
Germany,2012,491866
Germany,2013,496644
Germany,2014,499405
Germany,2015,504476
Germany,2016,517743
Hungary,2002,31475
Hungary,2003,32975
Hungary,2004,36661
Hungary,2005,41928
Hungary,2006,48354
Hungary,2007,53876
Hungary,2008,53505
Hungary,2009,50139
Hungary,2010,50545
Hungary,2011,51068
Hungary,2012,50749
Hungary,2013,53157
Hungary,2014,55287
Hungary,2015,55490.23285
Hungary,2016,58359.23339
Iceland,2002,660
Iceland,2003,679
Iceland,2004,699
Iceland,2005,741
Iceland,2006,786
Iceland,2007,825
Iceland,2008,805
Iceland,2009,813
Iceland,2010,806
Iceland,2011,777
Iceland,2012,786
Iceland,2013,808
Iceland,2014,850
Iceland,2015,907
Iceland,2016,1052
Italy,2002,226519.602
Italy,2003,176383.122
Italy,2004,231055.94
Italy,2005,245510.74
Italy,2006,221442.093
Italy,2007,214180.771
Italy,2008,213771.929
Italy,2009,192126.259
Italy,2010,204926.458
Italy,2011,172770.445
Italy,2012,154401.078
Italy,2013,156391.2814
Italy,2014,147589.3995
Italy,2015,146876.3464
Italy,2016,145394.492
Lithuania,2002,25369
Lithuania,2003,28006
Lithuania,2004,28204
Lithuania,2005,32772
Lithuania,2006,33703
Lithuania,2007,35694
Lithuania,2008,35707
Lithuania,2009,30059
Lithuania,2010,33412
Lithuania,2011,37195
Lithuania,2012,38255
Lithuania,2013,40246
Lithuania,2014,42942
