Country,Year,Growth,projection,Start Year,End Year
European Total,1950-1955,0.97,0,1950,1955
European Total,1955-1960,0.97,0,1955,1960
European Total,1960-1965,0.95,0,1960,1965
European Total,1965-1970,0.69,0,1965,1970
European Total,1970-1975,0.60,0,1970,1975
European Total,1975-1980,0.49,0,1975,1980
European Total,1980-1985,0.40,0,1980,1985
European Total,1985-1990,0.37,0,1985,1990
European Total,1990-1995,0.17,0,1990,1995
European Total,1995-2000,-0.04,0,1995,2000
European Total,2000-2005,0.10,0,2000,2005
European Total,2005-2010,0.19,0,2005,2010
European Total,2010-2015,0.18,0,2010,2015
European Total,2015-2020,0.12,0,2015,2020
Austria,1950-1955,0.05,0,1950,1955
Austria,1955-1960,0.34,0,1955,1960
Austria,1960-1965,0.65,0,1960,1965
Austria,1965-1970,0.57,0,1965,1970
Austria,1970-1975,0.32,0,1970,1975
Austria,1975-1980,-0.07,0,1975,1980
Austria,1980-1985,0.01,0,1980,1985
Austria,1985-1990,0.28,0,1985,1990
Austria,1990-1995,0.68,0,1990,1995
Austria,1995-2000,0.20,0,1995,2000
Austria,2000-2005,0.45,0,2000,2005
Austria,2005-2010,0.38,0,2005,2010
Austria,2010-2015,0.63,0,2010,2015
Austria,2015-2020,0.74,0,2015,2020
Belgium,1950-1955,0.57,0,1950,1955
Belgium,1955-1960,0.62,0,1955,1960
Belgium,1960-1965,0.59,0,1960,1965
Belgium,1965-1970,0.40,0,1965,1970
Belgium,1970-1975,0.29,0,1970,1975
Belgium,1975-1980,0.20,0,1975,1980
Belgium,1980-1985,0.10,0,1980,1985
Belgium,1985-1990,0.18,0,1985,1990
Belgium,1990-1995,0.36,0,1990,1995
Belgium,1995-2000,0.19,0,1995,2000
Belgium,2000-2005,0.51,0,2000,2005
Belgium,2005-2010,0.73,0,2005,2010
Belgium,2010-2015,0.63,0,2010,2015
Belgium,2015-2020,0.53,0,2015,2020
Denmark,1950-1955,0.79,0,1950,1955
Denmark,1955-1960,0.62,0,1955,1960
Denmark,1960-1965,0.77,0,1960,1965
Denmark,1965-1970,0.71,0,1965,1970
Denmark,1970-1975,0.53,0,1970,1975
Denmark,1975-1980,0.24,0,1975,1980
Denmark,1980-1985,-0.04,0,1980,1985
Denmark,1985-1990,0.11,0,1985,1990
Denmark,1990-1995,0.35,0,1990,1995
Denmark,1995-2000,0.41,0,1995,2000
Denmark,2000-2005,0.30,0,2000,2005
Denmark,2005-2010,0.49,0,2005,2010
Denmark,2010-2015,0.48,0,2010,2015
Denmark,2015-2020,0.36,0,2015,2020
Finland,1950-1955,1.12,0,1950,1955
Finland,1955-1960,0.91,0,1955,1960
Finland,1960-1965,0.60,0,1960,1965
Finland,1965-1970,0.19,0,1965,1970
Finland,1970-1975,0.46,0,1970,1975
Finland,1975-1980,0.29,0,1975,1980
Finland,1980-1985,0.51,0,1980,1985
Finland,1985-1990,0.34,0,1985,1990
Finland,1990-1995,0.49,0,1990,1995
Finland,1995-2000,0.27,0,1995,2000
Finland,2000-2005,0.27,0,2000,2005
Finland,2005-2010,0.40,0,2005,2010
Finland,2010-2015,0.43,0,2010,2015
Finland,2015-2020,0.22,0,2015,2020
France,1950-1955,0.74,0,1950,1955
France,1955-1960,1.02,0,1955,1960
France,1960-1965,1.30,0,1960,1965
France,1965-1970,0.81,0,1965,1970
France,1970-1975,0.74,0,1970,1975
France,1975-1980,0.44,0,1975,1980
France,1980-1985,0.51,0,1980,1985
France,1985-1990,0.51,0,1985,1990
France,1990-1995,0.40,0,1990,1995
France,1995-2000,0.42,0,1995,2000
France,2000-2005,0.70,0,2000,2005
France,2005-2010,0.57,0,2005,2010
France,2010-2015,0.49,0,2010,2015
France,2015-2020,0.25,0,2015,2020
Germany,1950-1955,0.44,0,1950,1955
Germany,1955-1960,0.52,0,1955,1960
Germany,1960-1965,0.76,0,1960,1965
Germany,1965-1970,0.60,0,1965,1970
Germany,1970-1975,0.07,0,1970,1975
Germany,1975-1980,-0.15,0,1975,1980
