Country,Year,Total Population,projection
European Total,1950,  549 329,0
European Total,1951,  554 325,0
European Total,1952,  559 694,0
European Total,1953,  565 282,0
European Total,1954,  570 970,0
European Total,1955,  576 679,0
European Total,1956,  582 371,0
European Total,1957,  588 048,0
European Total,1958,  593 743,0
European Total,1959,  599 513,0
European Total,1960,  605 407,0
European Total,1961,  611 434,0
European Total,1962,  617 536,0
European Total,1963,  623 575,0
European Total,1964,  629 367,0
European Total,1965,  634 783,0
European Total,1966,  639 762,0
European Total,1967,  644 345,0
European Total,1968,  648 636,0
European Total,1969,  652 790,0
European Total,1970,  656 919,0
European Total,1971,  661 056,0
European Total,1972,  665 164,0
European Total,1973,  669 208,0
European Total,1974,  673 132,0
European Total,1975,  676 895,0
European Total,1976,  680 498,0
European Total,1977,  683 960,0
European Total,1978,  687 286,0
European Total,1979,  690 485,0
European Total,1980,  693 567,0
European Total,1981,  696 513,0
European Total,1982,  699 330,0
European Total,1983,  702 070,0
European Total,1984,  704 807,0
European Total,1985,  707 584,0
European Total,1986,  710 422,0
European Total,1987,  713 279,0
European Total,1988,  716 057,0
European Total,1989,  718 617,0
European Total,1990,  720 858,0
European Total,1991,  722 776,0
European Total,1992,  724 390,0
European Total,1993,  725 657,0
European Total,1994,  726 529,0
European Total,1995,  726 994,0
European Total,1996,  727 020,0
European Total,1997,  726 669,0
European Total,1998,  726 142,0
European Total,1999,  725 705,0
European Total,2000,  725 558,0
European Total,2001,  725 772,0
European Total,2002,  726 312,0
European Total,2003,  727 134,0
European Total,2004,  728 150,0
European Total,2005,  729 288,0
European Total,2006,  730 547,0
European Total,2007,  731 939,0
European Total,2008,  733 416,0
European Total,2009,  734 923,0
European Total,2010,  736 413,0
European Total,2011,  737 851,0
European Total,2012,  739 225,0
European Total,2013,  740 542,0
European Total,2014,  741 818,0
European Total,2015,  743 059,0
European Total,2016,  744 269,0
European Total,2017,  745 415,0
European Total,2018,  746 419,0
European Total,2019,  747 183,0
European Total,2020,  747 636,0
Austria,1950,  6 936,0
Austria,1951,  6 931,0
Austria,1952,  6 931,0
Austria,1953,  6 935,0
Austria,1954,  6 943,0
Austria,1955,  6 953,0
Austria,1956,  6 968,0
Austria,1957,  6 986,0
Austria,1958,  7 008,0
Austria,1959,  7 037,0
Austria,1960,  7 071,0
Austria,1961,  7 111,0
Austria,1962,  7 157,0
Austria,1963,  7 206,0
Austria,1964,  7 256,0
Austria,1965,  7 305,0
Austria,1966,  7 352,0
Austria,1967,  7 397,0
Austria,1968,  7 440,0
Austria,1969,  7 479,0
Austria,1970,  7 516,0
Austria,1971,  7 550,0
Austria,1972,  7 581,0
Austria,1973,  7 607,0
Austria,1974,  7 626,0
Austria,1975,  7 638,0
Austria,1976,  7 641,0
Austria,1977,  7 637,0
Austria,1978,  7 628,0
Austria,1979,  7 618,0
Austria,1980,  7 610,0
Austria,1981,  7 605,0
Austria,1982,  7 602,0
Austria,1983,  7 603,0
Austria,1984,  7 607,0
Austria,1985,  7 615,0
Austria,1986,  7 625,0
Austria,1987,  7 639,0
Austria,1988,  7 659,0
Austria,1989,  7 687,0
Austria,1990,  7 724,0
Austria,1991,  7 773,0
Austria,1992,  7 831,0
Austria,1993,  7 892,0
Austria,1994,  7 947,0
Austria,1995,  7 990,0
Austria,1996,  8 018,0
Austria,1997,  8 033,0
Austria,1998,  8 041,0
Austria,1999,  8 051,0
Austria,2000,  8 069,0
Austria,2001,  8 098,0
Austria,2002,  8 134,0
Austria,2003,  8 176,0
Austria,2004,  8 217,0
Austria,2005,  8 254,0
Austria,2006,  8 285,0
Austria,2007,  8 314,0
Austria,2008,  8 342,0
Austria,2009,  8 373,0
Austria,2010,  8 410,0
Austria,2011,  8 454,0
Austria,2012,  8 502,0
Austria,2013,  8 556,0
Austria,2014,  8 615,0
Austria,2015,  8 679,0
Austria,2016,  8 747,0
Austria,2017,  8 820,0
Austria,2018,  8 891,0
Austria,2019,  8 955,0
Austria,2020,  9 006,0
Belgium,1950,  8 638,0
Belgium,1951,  8 680,0
Belgium,1952,  8 728,0
Belgium,1953,  8 779,0
Belgium,1954,  8 833,0
Belgium,1955,  8 887,0
Belgium,1956,  8 942,0
Belgium,1957,  8 998,0
Belgium,1958,  9 054,0
Belgium,1959,  9 110,0
Belgium,1960,  9 167,0
Belgium,1961,  9 225,0
Belgium,1962,  9 284,0
Belgium,1963,  9 340,0
Belgium,1964,  9 394,0
Belgium,1965,  9 444,0
Belgium,1966,  9 489,0
Belgium,1967,  9 529,0
Belgium,1968,  9 566,0
Belgium,1969,  9 600,0
Belgium,1970,  9 632,0
Belgium,1971,  9 663,0
Belgium,1972,  9 693,0
Belgium,1973,  9 721,0
Belgium,1974,  9 747,0
Belgium,1975,  9 772,0
Belgium,1976,  9 795,0
Belgium,1977,  9 817,0
Belgium,1978,  9 837,0
Belgium,1979,  9 854,0
Belgium,1980,  9 869,0
Belgium,1981,  9 881,0
Belgium,1982,  9 890,0
Belgium,1983,  9 898,0
Belgium,1984,  9 906,0
Belgium,1985,  9 917,0
Belgium,1986,  9 929,0
Belgium,1987,  9 942,0
Belgium,1988,  9 959,0
Belgium,1989,  9 980,0
Belgium,1990,  10 007,0
Belgium,1991,  10 039,0
Belgium,1992,  10 078,0
Belgium,1993,  10 119,0
Belgium,1994,  10 156,0
Belgium,1995,  10 186,0
Belgium,1996,  10 208,0
Belgium,1997,  10 224,0
Belgium,1998,  10 237,0
Belgium,1999,  10 255,0
Belgium,2000,  10 282,0
Belgium,2001,  10 319,0
Belgium,2002,  10 365,0
Belgium,2003,  10 419,0
Belgium,2004,  10 480,0
Belgium,2005,  10 547,0
Belgium,2006,  10 619,0
Belgium,2007,  10 698,0
Belgium,2008,  10 779,0
Belgium,2009,  10 860,0
Belgium,2010,  10 939,0
Belgium,2011,  11 014,0
Belgium,2012,  11 085,0
Belgium,2013,  11 154,0
Belgium,2014,  11 221,0
Belgium,2015,  11 288,0
Belgium,2016,  11 354,0
Belgium,2017,  11 420,0
Belgium,2018,  11 482,0
Belgium,2019,  11 539,0
Belgium,2020,  11 590,0
Denmark,1950,  4 268,0
Denmark,1951,  4 309,0
Denmark,1952,  4 346,0
Denmark,1953,  4 380,0
Denmark,1954,  4 412,0
Denmark,1955,  4 441,0
Denmark,1956,  4 468,0
Denmark,1957,  4 495,0
Denmark,1958,  4 522,0
Denmark,1959,  4 551,0
Denmark,1960,  4 581,0
Denmark,1961,  4 614,0
