Country,Time,GDP Growth
Albania,2000,6.946216585
Albania,2001,8.293312636
Albania,2002,4.536524157
Albania,2003,5.528637464
Albania,2004,5.51466791
Albania,2005,5.526424241
Albania,2006,5.902659038
Albania,2007,5.983259523
Albania,2008,7.500041428
Albania,2009,3.354289352
Albania,2010,3.70693815
Albania,2011,2.545406145
Albania,2012,1.4172428
Albania,2013,1.00201754
Albania,2014,1.774448855
Albania,2015,2.218726372
Albania,2016,3.314980684
Albania,2017,3.8022274
Albania,2018,4.019359686
Albania,2019,2.113419982
Austria,2000,3.375722147
Austria,2001,1.267168189
Austria,2002,1.651553922
Austria,2003,0.941470921
Austria,2004,2.735120222
Austria,2005,2.244065325
Austria,2006,3.454041836
Austria,2007,3.727415301
Austria,2008,1.460423676
Austria,2009,-3.764578178
Austria,2010,1.837093677
Austria,2011,2.922797284
Austria,2012,0.680445577
Austria,2013,0.025504712
Austria,2014,0.661272849
Austria,2015,1.014501586
Austria,2016,1.989437162
Austria,2017,2.258572433
Austria,2018,2.501595119
Austria,2019,1.49121085
Belarus,2000,5.80000344
Belarus,2001,4.725305994
Belarus,2002,5.04526748
Belarus,2003,7.043192559
Belarus,2004,11.44974311
Belarus,2005,9.400001524
Belarus,2006,9.999994812
Belarus,2007,8.600006536
Belarus,2008,10.19999944
Belarus,2009,0.19999531
Belarus,2010,7.798266823
Belarus,2011,5.37870745
Belarus,2012,1.687135536
Belarus,2013,1.003470841
Belarus,2014,1.726384854
Belarus,2015,-3.829570558
Belarus,2016,-2.526446436
Belarus,2017,2.5321835
Belarus,2018,3.149197594
Belarus,2019,1.4
Belgium,2000,3.716679384
Belgium,2001,1.099618888
Belgium,2002,1.706884585
Belgium,2003,1.037982549
Belgium,2004,3.571204343
Belgium,2005,2.321737054
Belgium,2006,2.552349944
Belgium,2007,3.676881136
Belgium,2008,0.446928735
Belgium,2009,-2.020743062
Belgium,2010,2.864292708
Belgium,2011,1.694513899
Belgium,2012,0.739217283
Belgium,2013,0.459242193
Belgium,2014,1.578533143
Belgium,2015,2.041459009
Belgium,2016,1.266686409
Belgium,2017,1.619580278
Belgium,2018,1.819203664
Belgium,2019,2.149559681
Bosnia and Herzegovina,2000,12.76546946
Bosnia and Herzegovina,2001,2.423313172
Bosnia and Herzegovina,2002,5.027444207
Bosnia and Herzegovina,2003,3.867138795
Bosnia and Herzegovina,2004,6.325266169
Bosnia and Herzegovina,2005,3.89717799
Bosnia and Herzegovina,2006,5.414003571
Bosnia and Herzegovina,2007,5.857126342
Bosnia and Herzegovina,2008,5.443831035
Bosnia and Herzegovina,2009,-3.00445593
Bosnia and Herzegovina,2010,0.86566926
Bosnia and Herzegovina,2011,0.959511247
Bosnia and Herzegovina,2012,-0.821836474
Bosnia and Herzegovina,2013,2.349856663
Bosnia and Herzegovina,2014,1.153851092
Bosnia and Herzegovina,2015,3.089164152
Bosnia and Herzegovina,2016,3.149806916
Bosnia and Herzegovina,2017,3.171434875
Bosnia and Herzegovina,2018,3.740071092
Bosnia and Herzegovina,2019,2.831002603
Bulgaria,2000,4.587225342
Bulgaria,2001,3.823703664
Bulgaria,2002,5.871930278
Bulgaria,2003,5.237154278
Bulgaria,2004,6.510426379
Bulgaria,2005,7.056347526
Bulgaria,2006,6.802589382
Bulgaria,2007,6.591380837
Bulgaria,2008,6.116017964
Bulgaria,2009,-3.271854279
Bulgaria,2010,1.541801443
Bulgaria,2011,2.10120575
Bulgaria,2012,0.754930386
Bulgaria,2013,-0.560493966
Bulgaria,2014,0.966869032
Bulgaria,2015,3.428054914
Bulgaria,2016,3.039825276
Bulgaria,2017,2.76217096
Bulgaria,2018,2.684576131
Bulgaria,2019,4.037592082
Croatia,2000,2.895500506
Croatia,2001,3.032498265
Croatia,2002,5.722074201
Croatia,2003,5.525946728
Croatia,2004,4.149336808
Croatia,2005,4.312401186
Croatia,2006,4.938356531
Croatia,2007,4.912811472
Croatia,2008,1.895443552
Croatia,2009,-7.281699547
Croatia,2010,-1.250700462
Croatia,2011,-0.085243549
Croatia,2012,-2.275706646
Croatia,2013,-0.363117372
Croatia,2014,-0.345947048
Croatia,2015,2.52568842
Croatia,2016,3.532432232
Croatia,2017,3.41409226
Croatia,2018,2.900009599
Croatia,2019,3.481945603
Czech Republic,2000,4.001028635
Czech Republic,2001,3.042976563
Czech Republic,2002,1.569855328
Czech Republic,2003,3.583688459
Czech Republic,2004,4.814261001
Czech Republic,2005,6.60161753
Czech Republic,2006,6.766932681
Czech Republic,2007,5.570338859
Czech Republic,2008,2.686411951
Czech Republic,2009,-4.657331092
Czech Republic,2010,2.434902159
Czech Republic,2011,1.760359624
Czech Republic,2012,-0.785004299
Czech Republic,2013,-0.045903674
Czech Republic,2014,2.262102897
Czech Republic,2015,5.388380838
Czech Republic,2016,2.53728452
Czech Republic,2017,5.168724304
Czech Republic,2018,3.198656101
Czech Republic,2019,3.029478257
Denmark,2000,3.746862595
Denmark,2001,0.823152998
Denmark,2002,0.466345571
Denmark,2003,0.390058556
Denmark,2004,2.668219267
Denmark,2005,2.336641308
Denmark,2006,3.913007978
Denmark,2007,0.909238928
Denmark,2008,-0.512016745
Denmark,2009,-4.90654773
Denmark,2010,1.870991147
Denmark,2011,1.336777767
Denmark,2012,0.226499792
Denmark,2013,0.933340972
Denmark,2014,1.619393811
