Country,Year,Total Population,Population Growth
Austria,1950,  6 936,0
Austria,1951,  6 931,-0.07346706
Austria,1952,  6 931,-0.002192936
Austria,1953,  6 935,0.057060876
Austria,1954,  6 943,0.107683339
Austria,1955,  6 953,0.155373687
Austria,1956,  6 968,0.204504154
Austria,1957,  6 986,0.259772915
Austria,1958,  7 008,0.324819589
Austria,1959,  7 037,0.40150305
Austria,1960,  7 071,0.486303381
Austria,1961,  7 111,0.570885248
Austria,1962,  7 157,0.642611542
Austria,1963,  7 206,0.686825854
Austria,1964,  7 256,0.695254823
Austria,1965,  7 305,0.676162964
Austria,1966,  7 352,0.644544934
Austria,1967,  7 397,0.611092757
Austria,1968,  7 440,0.573368078
Austria,1969,  7 479,0.534425259
Austria,1970,  7 516,0.493332299
Austria,1971,  7 550,0.453697714
Austria,1972,  7 581,0.407677059
Austria,1973,  7 607,0.342258136
Austria,1974,  7 626,0.252699233
Austria,1975,  7 638,0.149430457
Austria,1976,  7 641,0.040182327
Austria,1977,  7 637,-0.054732811
Austria,1978,  7 628,-0.11537898
Austria,1979,  7 618,-0.129513742
Austria,1980,  7 610,-0.106761944
Austria,1981,  7 605,-0.068832747
Austria,1982,  7 602,-0.030705455
Austria,1983,  7 603,0.012141259
Austria,1984,  7 607,0.055188015
Austria,1985,  7 615,0.099614896
Austria,1986,  7 625,0.138163809
Austria,1987,  7 639,0.183020027
Austria,1988,  7 659,0.255322736
Austria,1989,  7 687,0.361777268
Austria,1990,  7 724,0.48643321
Austria,1991,  7 773,0.631075742
Austria,1992,  7 831,0.749289372
Austria,1993,  7 892,0.78088985
Austria,1994,  7 947,0.698496938
Austria,1995,  7 990,0.539786579
Austria,1996,  8 018,0.347166554
Austria,1997,  8 033,0.187344441
Austria,1998,  8 041,0.10184401
Austria,1999,  8 051,0.125132849
Austria,2000,  8 069,0.225558792
Austria,2001,  8 098,0.352931291
Austria,2002,  8 134,0.452569879
Austria,2003,  8 176,0.509588718
Austria,2004,  8 217,0.500926203
Austria,2005,  8 254,0.448422198
Austria,2006,  8 285,0.383938948
Austria,2007,  8 314,0.342604925
Austria,2008,  8 342,0.334314401
Austria,2009,  8 373,0.373229116
Austria,2010,  8 410,0.445342447
Austria,2011,  8 454,0.51791064
Austria,2012,  8 502,0.576435728
Austria,2013,  8 556,0.634668787
Austria,2014,  8 615,0.689722798
Austria,2015,  8 679,0.736627857
Austria,2016,  8 747,0.790893348
Austria,2017,  8 820,0.829924093
Austria,2018,  8 891,0.810451182
Austria,2019,  8 955,0.716705151
Austria,2020,  9 006,0.572768078
Belgium,1950,  8 638,-4.095743027
Belgium,1951,  8 680,0.493833821
Belgium,1952,  8 728,0.550818324
Belgium,1953,  8 779,0.587523723
Belgium,1954,  8 833,0.60859295
Belgium,1955,  8 887,0.617908664
Belgium,1956,  8 942,0.620358884
Belgium,1957,  8 998,0.619933691
Belgium,1958,  9 054,0.620092922
Belgium,1959,  9 110,0.623252084
Belgium,1960,  9 167,0.628908657
Belgium,1961,  9 225,0.633257488
Belgium,1962,  9 284,0.630118063
Belgium,1963,  9 340,0.612632351
Belgium,1964,  9 394,0.57685849
Belgium,1965,  9 444,0.528490681
Belgium,1966,  9 489,0.474494353
Belgium,1967,  9 529,0.424576069
Belgium,1968,  9 566,0.383511634
Belgium,1969,  9 600,0.35606791
Belgium,1970,  9 632,0.338845652
Belgium,1971,  9 663,0.323332862
Belgium,1972,  9 693,0.305505673
Belgium,1973,  9 721,0.28789277
Belgium,1974,  9 747,0.270277499
Belgium,1975,  9 772,0.251964113
Belgium,1976,  9 795,0.237310601
Belgium,1977,  9 817,0.223813298
Belgium,1978,  9 837,0.204946819
Belgium,1979,  9 854,0.17851312
Belgium,1980,  9 869,0.148431579
Belgium,1981,  9 881,0.117489119
Belgium,1982,  9 890,0.093364832
Belgium,1983,  9 898,0.08147773
Belgium,1984,  9 906,0.085806279
Belgium,1985,  9 917,0.103034714
Belgium,1986,  9 929,0.120626301
Belgium,1987,  9 942,0.138409085
Belgium,1988,  9 959,0.168271245
Belgium,1989,  9 980,0.212511062
Belgium,1990,  10 007,0.264223824
Belgium,1991,  10 039,0.328834778
Belgium,1992,  10 078,0.384961328
Belgium,1993,  10 119,0.402714877
Belgium,1994,  10 156,0.367883808
Belgium,1995,  10 186,0.299283895
Belgium,1996,  10 208,0.215593409
Belgium,1997,  10 224,0.152033671
Belgium,1998,  10 237,0.132172185
Belgium,1999,  10 255,0.174489401
Belgium,2000,  10 282,0.262160682
Belgium,2001,  10 319,0.359656045
Belgium,2002,  10 365,0.444353954
Belgium,2003,  10 419,0.522437358
Belgium,2004,  10 480,0.586321432
Belgium,2005,  10 547,0.637082521
Belgium,2006,  10 619,0.688345421
Belgium,2007,  10 698,0.735365296
Belgium,2008,  10 779,0.758938287
Belgium,2009,  10 860,0.753054803
Belgium,2010,  10 939,0.725612145
Belgium,2011,  11 014,0.686779596
Belgium,2012,  11 085,0.649136633
Belgium,2013,  11 154,0.619312598
Belgium,2014,  11 221,0.602626428
Belgium,2015,  11 288,0.594462726
Belgium,2016,  11 354,0.588912175
Belgium,2017,  11 420,0.575503415
Belgium,2018,  11 482,0.546666863
Belgium,2019,  11 539,0.497692947
Belgium,2020,  11 590,0.435814015
Denmark,1950,  4 268,-63.17150629
Denmark,1951,  4 309,0.952046034
Denmark,1952,  4 346,0.86495052
Denmark,1953,  4 380,0.785009941
Denmark,1954,  4 412,0.715863393
Denmark,1955,  4 441,0.660000698
Denmark,1956,  4 468,0.620859538
Denmark,1957,  4 495,0.601228641
Denmark,1958,  4 522,0.603352676
Denmark,1959,  4 551,0.626799816
Denmark,1960,  4 581,0.668383186
Denmark,1961,  4 614,0.718779489
Denmark,1962,  4 649,0.765361798
Denmark,1963,  4 686,0.794263101
Denmark,1964,  4 724,0.797094661
Denmark,1965,  4 760,0.779867487
Denmark,1966,  4 796,0.756649409
Denmark,1967,  4 832,0.735309907
Denmark,1968,  4 866,0.710280954
Denmark,1969,  4 899,0.682686579
Denmark,1970,  4 931,0.652135443
Denmark,1971,  4 962,0.618911393
Denmark,1972,  4 991,0.580278083
Denmark,1973,  5 017,0.534930912
Denmark,1974,  5 041,0.481658567
Denmark,1975,  5 063,0.422857639
Denmark,1976,  5 081,0.366027743
Denmark,1977,  5 097,0.310690533
Denmark,1978,  5 110,0.248065106
Denmark,1979,  5 119,0.176488098
Denmark,1980,  5 124,0.102252305
Denmark,1981,  5 125,0.026366403
Denmark,1982,  5 123,-0.03798805
Denmark,1983,  5 120,-0.073038163
Denmark,1984,  5 116,-0.069380325
Denmark,1985,  5 114,-0.035281091
Denmark,1986,  5 115,0.007723518
Denmark,1987,  5 117,0.051557831
Denmark,1988,  5 122,0.100834779
Denmark,1989,  5 130,0.154613756
Denmark,1990,  5 141,0.20963433
Denmark,1991,  5 155,0.268210196
Denmark,1992,  5 172,0.324894382
Denmark,1993,  5 191,0.369146892
Denmark,1994,  5 211,0.396648265
Denmark,1995,  5 233,0.410163693
Denmark,1996,  5 255,0.423260686
Denmark,1997,  5 278,0.43494999
Denmark,1998,  5 300,0.429485271
Denmark,1999,  5 322,0.403574838
Denmark,2000,  5 341,0.364934906
Denmark,2001,  5 358,0.315790932
Denmark,2002,  5 373,0.275080957
Denmark,2003,  5 387,0.263735953
Denmark,2004,  5 403,0.293040538
Denmark,2005,  5 422,0.350691518
Denmark,2006,  5 444,0.416695793
Denmark,2007,  5 470,0.470713094
Denmark,2008,  5 498,0.508435224
Denmark,2009,  5 526,0.521269593
Denmark,2010,  5 555,0.514983654
Denmark,2011,  5 583,0.506422407
Denmark,2012,  5 611,0.500252553
Denmark,2013,  5 638,0.485536301
Denmark,2014,  5 664,0.461977613
Denmark,2015,  5 689,0.432470681
Denmark,2016,  5 711,0.39817568
Denmark,2017,  5 732,0.366481036
Denmark,2018,  5 752,0.346354511
Denmark,2019,  5 772,0.343281473
Denmark,2020,  5 792,0.352155807
Finland,1950,  4 008,-30.79848893
Finland,1951,  4 050,1.052717716
Finland,1952,  4 097,1.137418504
Finland,1953,  4 144,1.165612408
Finland,1954,  4 192,1.150059033
Finland,1955,  4 238,1.104563939
Finland,1956,  4 282,1.040565098
Finland,1957,  4 324,0.970022249
Finland,1958,  4 363,0.901844532
Finland,1959,  4 400,0.842487963
Finland,1960,  4 435,0.793809897
Finland,1961,  4 468,0.74798296
Finland,1962,  4 499,0.695157733
Finland,1963,  4 527,0.620540359
Finland,1964,  4 550,0.519402713
Finland,1965,  4 569,0.403362453
Finland,1966,  4 581,0.273847328
Finland,1967,  4 589,0.164697896
Finland,1968,  4 594,0.116831493
Finland,1969,  4 601,0.152633173
Finland,1970,  4 612,0.246292517
Finland,1971,  4 629,0.368704558
Finland,1972,  4 651,0.47097111
Finland,1973,  4 675,0.521932742
Finland,1974,  4 699,0.499032179
Finland,1975,  4 719,0.424833499
Finland,1976,  4 734,0.33246135
Finland,1977,  4 747,0.263959858
Finland,1978,  4 758,0.23861743
Finland,1979,  4 771,0.274995713
Finland,1980,  4 788,0.354323868
Finland,1981,  4 810,0.450269169
Finland,1982,  4 835,0.525904678
Finland,1983,  4 862,0.559843412
Finland,1984,  4 888,0.535275292
Finland,1985,  4 911,0.470991656
Finland,1986,  4 930,0.389353358
Finland,1987,  4 946,0.325048445
Finland,1988,  4 961,0.297774044
Finland,1989,  4 977,0.322932609
Finland,1990,  4 996,0.383796406
Finland,1991,  5 019,0.458626722
Finland,1992,  5 045,0.513913356
Finland,1993,  5 072,0.532296992
Finland,1994,  5 097,0.498996211
Finland,1995,  5 119,0.430088541
Finland,1996,  5 137,0.351083373
Finland,1997,  5 152,0.287250262
Finland,1998,  5 164,0.242558825
