team,Participation,Gold,Silver,Bronze,Total,winter_participation_amount,winterGold,winterSilver,winterBronze,winterTotal,Combined participation_amount,Combined Gold,Combined Silver,Combined Bronze,Combined Total,Country
United States (USA) [P] [Q] [R] [Z] [F],28,1075,846,752,2673,23,105,113,89,307,51,1180,959,841,2980,United States
Soviet Union (URS) [URS],9,395,319,296,1010,9,78,57,59,194,18,473,376,355,1204,Soviet Union
Great Britain (GBR) [GBR] [Z],29,285,316,315,916,23,11,4,17,32,52,296,320,332,948,Great Britain
France (FRA) [O] [P] [Z],29,222,254,274,750,23,36,35,53,124,52,258,289,327,874[2],France
Germany (GER) [GER] [Z],17,201,205,246,652,12,92,88,60,240,29,293,293,306,892,German
China (CHN) [CHN],11,262,199,173,634,11,13,28,21,62,22,275,227,194,696,China
Italy (ITA) [M] [S],28,217,188,213,618,23,40,36,48,124,51,257,224,261,742[3],Italy
Australia (AUS) [AUS] [Z],27,164,173,210,547,19,5,5,5,15,46,169,178,215,562,Australia
Hungary (HUN),27,181,154,176,511,23,1,2,4,7,50,182,156,180,518,Hungary
Sweden (SWE) [Z],28,148,176,179,503,23,57,46,55,158,51,205,222,234,661,Sweden
