Year,Birth Rate,Year80,Birth80,marky,markb
1960,20.86,1980,18.21,1980,18.21
1961,18.02,1981,20.91,2015,12.07
1962,37.01,1982,22.28,,
1963,43.37,1983,20.19,,
1964,39.14,1984,19.9,,
1965,37.88,1985,21.04,,
1966,35.05,1986,22.43,,
1967,33.96,1987,23.33,,
1968,35.59,1988,22.37,,
1969,34.11,1989,21.58,,
1970,33.43,1990,21.06,,
1971,30.65,1991,19.68,,
1972,29.77,1992,18.27,,
1973,27.93,1993,18.09,,
1974,24.82,1994,17.7,,
1975,23.01,1995,17.12,,
1976,19.91,1996,16.98,,
1977,18.93,1997,16.57,,
1978,18.25,1998,15.64,,
1979,17.82,1999,14.64,,
1980,18.21,2000,14.03,,
1981,20.91,2001,13.38,,
1982,22.28,2002,12.86,,
1983,20.19,2003,12.41,,
1984,19.9,2004,12.29,,
1985,21.04,2005,12.4,,
1986,22.43,2006,12.09,,
1987,23.33,2007,12.1,,
1988,22.37,2008,12.14,,
1989,21.58,2009,12.13,,
1990,21.06,2010,11.9,,
1991,19.68,2011,11.93,,
1992,18.27,2012,12.1,,
1993,18.09,2013,12.08,,
1994,17.7,2014,12.37,,
1995,17.12,2015,12.07,,
1996,16.98,,,,
1997,16.57,,,,
1998,15.64,,,,
1999,14.64,,,,
2000,14.03,,,,
2001,13.38,,,,
2002,12.86,,,,
2003,12.41,,,,
2004,12.29,,,,
2005,12.4,,,,
2006,12.09,,,,
2007,12.1,,,,
2008,12.14,,,,
2009,12.13,,,,
2010,11.9,,,,
2011,11.93,,,,
2012,12.1,,,,
2013,12.08,,,,
2014,12.37,,,,
2015,12.07,,,,
2016,12.95,,,,
2017,12.43,,,,
2018,10.94,,,,
2019,10.5,,,,
